delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5408	14	46	817
5400	12	43	806
5404	-657	-117	533
5552	-702	-783	191
5548	-380	390	211
5540	1148	152	-488
5584	-3179	592	29
5536	396	169	-507
5532	-565	440	2158
5592	147	-299	251
5532	48	-354	991
5648	-2	-152	1107
5492	165	41	489
5632	111	122	1125
5572	240	149	733
5520	156	30	880
5632	138	-25	904
5476	62	17	713
5576	20	122	893
5644	-41	175	750
5480	-97	132	786
5660	-110	39	768
5476	-112	-10	780
5664	-86	-33	800
5444	-55	1	777
5364	-13	39	805
5592	19	65	803
5584	69	19	815
5576	86	20	828
5408	100	35	821
5284	87	77	819
5576	68	108	833
5640	55	114	818
5460	20	61	794
5404	-10	38	808
5428	-34	25	802
5248	-41	26	789
5420	-51	37	787
5420	-35	26	770
5600	-21	22	809
5596	-123	-590	735
5552	602	1718	69
5516	1299	113	306
5396	928	919	-3022
5420	-1093	-1298	1686
5368	-297	-453	-479
5560	-505	428	2290
5596	145	42	-154
5472	-69	-95	1287
5668	164	-245	1055
5408	121	35	384
5288	179	152	1211
5396	177	70	710
5464	172	74	895
5632	156	16	930
5464	44	-6	649
5360	24	99	947
5576	-67	128	733
5488	-94	119	795
5656	-139	55	780
5476	-95	-6	731
5560	-113	-26	835
5664	-46	7	760
5544	-36	39	782
5596	43	53	826
5408	73	22	810
5400	87	24	842
5576	94	34	819
5412	106	66	827
5284	72	94	809
5576	54	110	811
5640	17	78	805
5576	-17	47	786
5600	-34	26	801
5420	-43	26	789
5248	-54	28	785
5424	-96	-1642	-142
5392	125	523	45
5284	-1585	-268	195
5256	-2521	655	-1663
5312	-849	-1121	-360
5624	-388	177	1380
5584	-148	542	516
5536	106	-302	262
5532	-27	6	1595
5596	147	4	274
5584	158	79	933
5460	239	62	1017
5340	214	133	610
5520	170	91	1074
5516	93	-6	658
5360	40	16	835
5580	-13	84	869
5596	-87	124	661
5488	-116	95	863
5648	-138	30	675
5480	-111	13	809
5652	-88	-36	801
5436	-45	22	749
5600	13	57	816
5576	62	68	810
5584	100	32	837
5628	99	17	832
5404	115	45	800
5288	92	65	829
5576	78	96	821
5576	36	85	791
5584	-737	232	537
5532	-1232	449	1576
5652	-1	-18	1290
5604	21	493	-1440
5540	324	441	294
5512	41	-29	674
5600	-205	-23	1192
5544	66	-13	174
5592	-69	101	1415
5544	129	-58	437
5644	173	32	834
5464	185	147	1032
5572	225	125	580
5520	114	21	1054
5340	121	43	679
5460	47	87	795
5400	-32	68	862
5428	-51	103	710
5308	-104	80	810
5648	-115	21	743
5484	-91	-22	790
5608	-91	-22	805
5616	-38	30	760
5592	-9	58	825
5548	47	46	820
5572	77	31	797
5404	83	36	824
5408	105	53	819
5460	82	78	822
5576	58	97	816
5580	40	83	802
5576	4	47	789
5532	-25	31	805
5592	-41	17	790
5604	-53	39	790
5592	-50	38	783
5596	-37	37	788
5428	-10	15	769
5248	3	20	803
5352	19	41	800
5580	39	61	790
5576	55	71	794
5580	48	66	814
5580	60	47	794
5576	41	38	800
5412	23	49	798
5400	5	50	786
5524	7	46	795
5532	-3	35	784
5540	-11	22	787
5600	-17	28	793
5592	-9	41	809
5540	0	39	801
5532	2	44	795
5524	16	48	812
5408	20	47	810
5576	27	48	802
5576	34	40	799
5408	28	69	818
5400	19	57	797
5580	15	51	788
5408	10	41	813
5400	0	38	781
5524	-4	40	802
5552	0	44	787
5524	0	45	799
5532	7	53	782
5348	2	37	798
5528	6	37	812
5528	19	36	801
5404	18	49	798
5400	27	47	802
5404	26	51	792
5580	20	36	804
5400	18	51	795
5404	23	37	805
5580	16	41	795
5580	2	51	804
5528	4	34	799
5528	13	33	785
5580	11	47	798
5576	6	37	803
5528	10	43	796
5580	0	44	794
5528	7	44	799
5528	17	46	816
5404	7	52	808
5524	19	48	802
5580	10	42	806
5576	14	43	787
5584	10	44	800
5572	2	41	798
5532	3	38	807
5524	11	52	792
5580	-300	-464	831
5552	-230	-1050	-129
5616	426	-1080	-1591
5488	-199	198	-1601
5604	179	588	251
5520	-357	340	97
5648	-174	-230	1438
5432	-267	875	590
5364	168	-1128	751
5584	14	-637	1059
5528	219	90	959
5640	185	273	590
5516	176	169	1045
5576	164	-241	800
5528	134	-162	848
5532	61	-156	869
5648	-12	103	714
5480	-40	362	875
5660	-101	426	720
5532	-96	311	784
5488	-98	5	768
5368	-59	-94	772
5432	-48	-132	829
