delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5592	42	-187	764
5652	21	-41	828
5416	15	-99	732
5420	-1	63	883
5544	16	80	744
5576	-7	164	833
5600	-7	121	774
5420	19	-88	781
5416	12	-120	791
5476	34	61	824
5580	30	74	792
5576	64	258	805
5644	-49	76	793
5420	3	-153	792
5424	-20	46	800
5424	54	-181	759
5300	19	132	814
5636	-7	173	725
5608	28	62	837
5576	4	-40	833
5540	34	-153	780
5472	35	19	790
5584	-27	168	770
5652	11	-9	805
5536	42	209	766
5640	36	-25	787
5416	19	-65	811
5244	57	-94	832
5424	25	138	860
5460	11	61	716
5576	16	-98	805
5596	14	-22	819
5592	0	46	705
5528	64	60	855
5576	-47	30	772
5600	13	32	814
5576	22	35	827
5584	24	134	845
5460	9	77	774
5352	11	85	879
5580	-9	-77	667
5552	-39	-154	817
5488	56	185	766
5296	17	71	897
5576	0	-2	718
5660	34	-101	799
5472	39	-23	863
5592	37	114	725
5640	37	104	867
5464	11	97	810
5404	40	-63	788
5420	-30	-99	844
5264	71	-210	785
5300	-63	115	823
5660	14	193	733
5460	3	100	831
5236	15	27	797
5404	11	-77	781
5596	19	-42	776
5416	50	54	808
5404	-12	-15	770
5440	68	229	798
5288	60	31	841
5576	51	-48	798
5596	68	-103	826
5644	19	70	805
5580	70	30	756
5580	27	73	851
5400	22	101	794
5296	40	72	762
5576	4	6	813
5648	37	-41	803
5592	-22	-180	805
5492	-25	208	781
5656	-3	272	735
5596	-7	52	840
5544	22	-201	751
5472	-10	-149	843
5668	43	66	792
5576	16	55	820
5584	21	157	800
5460	-1	62	761
5540	2	-18	853
5364	-43	-83	817
5612	38	34	766
5576	-36	141	797
5484	1	97	789
5528	-30	56	820
5600	0	38	791
5524	2	-17	734
5360	16	-24	807
5596	23	22	815
5576	-25	55	789
5428	52	-31	823
5416	24	88	796
5576	14	57	843
5584	74	138	700
5460	25	-121	825
5652	31	-21	840
5588	4	-15	748
5536	-67	74	877
5600	20	141	729
5464	-18	35	757
5600	-25	80	791
5592	37	-39	745
5600	12	-4	880
5532	-42	46	815
5596	8	81	732
5528	30	48	810
5576	-7	92	779
5548	-9	58	794
5540	71	-35	829
5244	25	-82	796
5420	-12	-14	813
5436	-16	138	773
5308	-19	176	792
5660	40	35	850
5576	33	-86	816
5416	93	-181	826
5304	-7	232	813
5596	13	104	802
5636	4	110	835
5592	90	-140	748
5472	14	-152	790
5652	70	7	839
5520	15	158	805
5644	99	178	825
5460	27	-37	773
5592	19	-72	762
5596	48	-121	802
5472	14	224	829
5288	69	86	842
5408	10	185	807
5464	23	-70	787
5596	40	-70	749
5588	21	39	779
5580	47	114	861
5468	35	-58	836
5416	50	99	691
5400	60	63	809
5408	2	-134	842
5596	33	123	810
5464	27	-1	803
5536	-33	-3	755
5380	24	-20	788
5600	8	75	801
5524	-13	177	817
5480	-3	78	842
5540	50	-39	804
5420	-18	-31	747
5432	25	127	761
5292	10	-6	849
5540	12	153	832
5288	32	-54	778
5596	18	-60	804
5592	22	-30	767
5592	-7	-14	848
5556	13	148	746
5636	19	64	812
5584	-13	32	808
5420	10	-10	804
5240	-44	34	806
5424	20	179	758
5464	-3	-44	759
5548	12	-27	835
5596	55	-11	802
5592	-26	16	847
5596	76	71	812
5576	61	-59	793
5596	4	21	768
5528	6	3	773
5648	58	69	822
5576	-49	-80	811
5436	-31	146	801
5660	21	-21	735
