delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5416	20	118	888
5468	83	-10	741
5592	33	-34	833
5596	27	48	836
5576	43	-3	770
5536	-7	-18	802
5556	-49	-28	773
5608	26	214	745
5640	-50	-69	847
5436	-37	24	793
5248	18	-226	709
5300	-1	177	921
5604	51	103	725
5636	51	9	824
5528	-4	89	804
5536	58	-115	781
5652	40	-44	819
5592	8	-39	787
5540	-15	247	794
5484	7	77	774
5704	-12	-41	790
5436	14	23	822
5576	-26	98	786
5600	49	50	822
5576	2	14	845
5532	47	-20	737
5240	84	11	835
5404	66	5	917
5520	111	193	713
5520	65	1	777
5696	11	-16	852
5424	53	-157	684
5296	-79	186	852
5656	20	167	730
5468	-1	-208	727
5604	-19	14	839
5600	-4	122	764
5592	21	105	819
5464	19	-22	760
5420	45	-102	806
5472	-6	-32	768
5552	52	99	768
5580	58	267	913
5636	63	-2	770
5540	52	-210	765
5648	-27	-90	814
5440	-14	79	759
5248	-65	177	806
5304	-35	-89	806
5608	-61	86	746
5600	-16	-67	806
5608	-40	225	777
5488	54	-7	889
5532	54	-34	785
5244	44	28	860
5408	41	147	800
5464	64	31	764
5576	37	59	826
5580	8	-137	818
5596	-1	90	738
5544	41	45	836
5576	-37	179	791
5660	21	186	789
5464	-2	-128	809
5604	-13	-93	795
5612	20	35	793
5576	91	156	820
5468	52	122	729
5288	-9	-182	831
5604	92	86	881
5580	29	-4	783
5536	3	157	819
5592	18	114	825
5636	4	22	745
5528	7	-67	832
5536	-71	91	740
5596	52	82	790
5584	44	81	812
5576	18	-233	789
5652	10	-89	870
5416	61	268	811
5288	56	83	753
5408	47	74	905
5404	47	-142	758
5300	-2	-167	770
5604	21	35	841
5580	11	173	792
5636	-3	168	821
5436	-33	-51	797
5260	-36	-140	759
5320	-16	97	821
5600	43	3	749
5520	-16	207	816
5304	51	-25	800
5596	18	-17	841
5592	58	13	721
5576	73	74	841
5584	13	67	843
5576	1	122	753
5592	39	-211	798
5472	14	130	837
5644	14	156	766
5460	11	27	793
5400	25	-85	816
5596	-1	-36	791
5552	56	29	792
5580	51	116	815
5464	52	-132	820
5652	28	9	784
5520	1	81	805
5524	68	-165	738
5300	-29	130	839
5660	25	123	810
5460	-12	-97	848
5612	29	-137	751
5648	-17	105	793
5488	5	112	852
5584	3	122	789
5592	108	-42	835
5644	-9	104	803
5420	50	-25	857
5252	17	-29	816
5416	41	-12	822
5588	16	32	791
5412	-11	37	756
5420	-18	84	812
5420	33	-5	804
5360	-18	-73	798
5616	18	218	829
5464	69	-265	718
5652	-7	168	808
5592	24	145	802
5468	27	65	823
5576	43	-88	743
5592	22	8	803
5528	-24	-46	819
5260	16	31	746
5400	-15	254	803
5488	11	-125	752
5644	-36	-77	774
5436	-16	39	824
5428	30	78	824
5404	44	56	770
5400	55	-10	822
5596	-3	-229	782
5432	41	191	810
5288	9	103	853
5588	36	-1	715
5536	-35	127	800
5304	-39	16	844
5600	-16	-67	811
5608	-33	24	763
5600	38	95	841
5576	1	-144	837
5424	2	186	831
5416	78	87	856
5404	23	42	739
5400	23	92	875
5580	33	-91	791
5592	5	-82	780
5540	10	73	791
5576	5	124	794
5588	39	48	849
5580	-12	39	828
5420	129	-84	789
5300	16	42	753
5584	3	280	873
5584	73	-30	868
5596	17	-51	815
5592	38	-92	772
5596	37	104	818
5464	-16	-59	836
5608	-9	196	789
5600	-22	145	784
5480	58	-244	733
5300	-2	-89	787
5556	23	115	818
5288	-11	115	787
5660	76	-13	803
5588	42	63	762
5584	10	-19	790
5416	84	-20	842
5420	-25	199	813
5480	36	42	776
5580	-6	-130	673
5608	15	87	895
5580	34	160	788
5464	16	73	825
5400	-31	-186	919
5500	69	136	709
5636	75	138	822
5468	-12	146	746
5652	36	-47	816
5596	41	-176	824
5472	23	5	812
5700	22	89	770
5404	-4	101	794
5420	-63	-141	795
5492	21	92	701
5580	37	177	833
5640	66	-237	770
5476	48	123	742
5636	30	105	835
5468	16	-7	788
5364	20	-19	798
5588	-15	-36	825
5444	12	269	756
5288	59	75	794
5576	-35	-27	849
5612	20	-120	871
5648	16	-14	747
5420	27	115	863
5292	33	22	777
5400	67	118	778
5464	-8	-175	856
