delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5488	-1003	-1514	111
5312	-963	1546	274
5592	314	1355	-1302
5468	-324	-1793	138
5432	1109	1434	1419
5516	3469	774	-1439
5464	-705	-1037	780
5256	-386	749	-449
5376	928	628	-413
5536	1279	-1119	-1220
5536	512	1170	815
5576	310	273	-733
5528	1191	-822	-660
5252	1385	320	56
5340	-1187	-239	-1532
5504	642	-1447	-267
5252	-680	430	-20
5316	1166	1363	-609
5648	526	-2566	239
5584	833	-324	-234
5548	-71	1397	-1007
5436	880	-2204	97
5352	1354	528	-636
5592	-1418	857	-13
5548	-273	-1462	-93
5560	1854	1841	506
5636	-63	860	14
5424	-337	-891	1465
5256	-1160	1100	515
5304	-387	599	23
5652	1917	-1507	547
5468	301	48	-1548
5360	-1779	-51	-92
5504	1963	-1740	10
5584	3756	2384	710
5636	-1299	626	-480
5428	-1269	-1106	354
5312	3062	178	-2177
5648	-1187	672	-1295
5484	4321	-1374	-605
5660	295	2451	-194
5588	921	708	-1252
5592	-442	-1404	-541
5444	10	620	1223
5696	-1009	808	-1268
5488	-770	-1499	270
5600	3274	-588	433
5592	-559	-42	-1838
5564	-120	-2124	-394
5448	776	-401	1012
5412	-774	249	-1092
5428	345	-1653	392
5240	-690	-969	-128
5392	280	1046	-1241
5464	212	-418	-1143
5600	-1765	734	286
5596	-1775	676	-1316
5484	918	-1404	-571
5252	1959	229	-345
5416	-2444	715	-1200
5488	-212	-1462	554
5608	527	-178	-786
5544	567	306	-1103
5584	-3082	-1502	-792
5508	-1000	104	687
5240	-108	875	-1037
5256	956	-1311	997
5412	-680	-637	218
5552	-595	1288	-1324
5484	309	-1694	-1068
5660	49	-584	-695
5488	-1786	443	-2168
5660	1559	-1868	-591
5488	-177	-375	1302
5600	-248	508	-2170
5612	1575	-1328	-290
5480	-2037	-1622	1211
5548	-2168	-289	-746
5616	-369	-743	-277
5560	506	-549	129
5536	-455	547	-2389
5604	-1614	-1182	-2400
5560	-114	-408	1464
5604	-454	-871	-855
5564	3752	-134	828
5588	-1057	-45	1424
5608	1755	-499	-759
5424	711	-899	-488
5368	1377	-443	1040
5472	-574	-1397	-197
5268	-432	1485	-1634
5312	-987	281	519
5532	2237	-322	-456
5604	-269	-1050	-1076
5500	-1446	-674	-272
5268	977	-1475	-184
5252	133	373	-508
5360	-92	1278	692
5540	215	-254	-684
5540	1671	-450	-1314
5660	1194	-553	-115
5600	686	-356	-419
5548	881	-88	-721
5488	-58	-33	-619
5628	-614	-689	-131
5560	-1472	-177	-45
5568	-203	563	-893
5548	268	-798	79
5644	861	568	-1671
5592	371	1209	-678
5412	853	-895	963
5356	-1220	1398	-913
5492	1661	2168	-189
5292	1078	-1259	939
5640	1101	853	-538
5592	-58	134	-839
5496	-288	-1043	-191
5620	620	1031	-405
5584	-552	952	-979
5556	-140	-1809	943
5604	445	1314	-786
5408	843	734	-361
5364	2226	-1527	1015
5520	1114	84	-1322
5592	-138	540	-119
5548	473	-1343	2276
5640	499	1308	450
5576	-318	-21	193
5492	-367	-631	661
5552	-476	1758	-1029
5660	1616	531	-1455
5472	-1885	-2567	-57
5616	-658	1254	-732
5612	1701	1409	-693
5464	-243	-1749	1373
5312	-312	477	-2071
5612	-387	558	-948
5548	1245	-1594	-1146
5536	1412	57	726
5520	36	132	-589
5304	453	-767	-615
5544	875	1221	1094
5632	-691	1282	-491
5604	-29	-1202	-730
5564	-135	-782	1290
5604	352	212	-1878
5592	-1363	-862	-465
5444	598	-54	801
5652	262	-994	-2127
5596	985	-1088	624
5412	-487	-798	562
5380	-43	1060	-731
5552	923	-796	-779
5544	-508	46	1446
5540	805	91	-717
5644	1727	-340	-1537
5488	601	152	1519
5572	513	-437	-1522
5604	1005	-233	260
5584	40	-98	194
5588	-256	-1510	-1694
5508	1617	-1379	373
5640	-1376	68	948
5540	1679	-1009	-1091
5536	-1134	-538	873
5608	329	-249	440
5528	562	-1471	-103
5604	-494	-749	-1419
5616	-842	757	-763
5548	1637	-1982	420
5472	-28	844	-90
5268	-271	-44	-231
5328	-820	-1556	-107
5624	931	1332	-1225
5468	960	1295	-1077
5292	26	-1404	1299
5592	-662	1147	-326
5600	1607	874	-856
5584	1219	-2415	1263
5528	1944	1848	56
5572	-999	-36	-1599
5568	-1084	-1893	189
5484	616	153	-435
5356	-1713	-418	382
5608	1018	-969	446
5584	1218	783	-750
5592	804	27	-1037
5528	-389	-1354	40
5552	-744	-752	-1488
5616	3897	-923	-380
5428	-2967	-1821	1347
5372	828	216	-424
5528	1844	279	-526
5588	2678	-1400	922
5472	57	762	185
5288	187	1195	-998
5584	906	-1476	61
5536	869	1535	-796
5412	-181	432	-1025
5428	-86	-1597	465
5556	-82	-927	736
5316	2566	910	-343
5584	197	-1333	139
5592	-497	864	1201
5588	527	1884	-2482
5476	638	-1807	-85
5368	302	-1073	2352
5468	-1289	801	-1362
5664	1077	-1179	947
5468	253	1823	2151
5280	1597	510	-1514
5648	-384	-1525	-268
5616	1418	814	-37
5536	524	184	-1360
5584	1737	-918	575
5592	205	18	59
5400	3661	-351	-499
5428	1185	565	-747
5416	-711	1551	1038
5300	-1953	315	-279
5604	-927	-1109	-1346
5504	-1086	751	1328
5296	953	91	-1210
5528	-612	-650	-2013
5272	146	1008	2328
5280	2300	438	-1240
5644	-1265	-702	-1310
5500	1644	1364	147
5632	949	167	-1807
5584	-88	13	1217
5484	860	1116	1965
5624	405	-1608	-1234
5480	-808	766	-914
5380	-819	-883	-88
5504	-111	-718	-186
5568	2200	573	1142
5628	1180	-433	216
5584	598	-1343	-25
5548	-92	-236	1154
