delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5572	12	27	790
5584	14	34	792
5576	10	23	771
5576	5	24	792
5532	7	36	796
5524	10	19	790
5584	9	34	767
5524	3	33	793
5524	8	27	802
5356	5	37	787
5528	9	33	781
5524	13	29	797
5580	4	32	802
5524	6	33	805
5360	9	49	799
5524	11	36	793
5576	14	29	789
5580	14	26	782
5580	14	24	802
5580	14	30	786
5576	18	21	795
5584	19	31	789
5572	10	30	796
5584	12	24	775
5404	14	23	782
5400	11	29	780
5584	14	14	791
5404	19	19	782
5400	19	18	784
5584	12	21	804
5576	15	25	793
5400	3	31	807
5352	14	37	790
5584	9	28	791
5524	25	25	796
5584	18	27	800
5576	13	39	807
5580	11	36	791
5576	3	37	783
5532	14	36	785
5576	10	29	794
5576	9	25	793
5532	2	24	803
5524	15	33	804
5584	17	28	793
5576	11	26	801
5580	7	24	796
5528	8	27	790
5524	14	27	784
5408	15	32	790
5572	11	28	798
5584	20	24	788
5404	24	17	809
5400	14	19	793
5584	10	37	779
5404	10	27	775
5400	12	28	784
5584	4	25	783
5524	14	35	786
5576	16	29	787
5584	9	26	799
5524	12	25	801
5584	15	35	792
5572	15	32	794
5584	10	30	781
5576	13	31	800
5404	7	27	791
5356	13	30	802
5576	20	29	801
5576	10	34	794
5584	22	27	779
5576	8	20	790
5532	11	28	816
5572	6	28	791
5532	9	25	797
5528	27	26	795
5576	15	23	797
5580	8	20	803
5524	15	20	801
5584	11	33	774
5576	15	26	790
5584	9	23	780
5524	13	32	806
5576	15	27	793
5580	14	24	781
5580	9	27	776
5528	14	27	797
5576	11	35	790
5584	7	29	812
5524	9	27	800
5352	8	34	807
5528	10	27	793
5576	14	31	789
5584	11	29	784
5576	9	30	795
5528	9	35	788
5528	18	36	782
5576	12	27	792
5584	-117	219	980
5532	32	-131	534
5300	26	-28	973
5596	163	230	735
5512	28	116	893
5644	66	-71	827
5592	-5	-131	819
5432	-2	103	750
5260	19	162	828
5288	57	82	817
5576	20	-92	802
5596	5	-90	799
5536	15	82	793
5576	3	167	803
5588	14	57	772
5580	16	-75	796
5596	5	-53	793
5536	31	102	810
5640	28	125	813
5460	11	35	775
5584	9	-57	779
5536	6	11	783
5524	-14	95	820
5248	31	121	761
5296	12	-76	797
5244	-6	-80	824
5372	15	33	751
5576	14	98	832
5584	24	80	810
5576	12	-7	774
5540	5	-43	823
5536	17	35	773
5580	16	82	809
5576	25	59	796
5584	15	-11	771
5416	6	-12	808
5360	9	40	767
5524	13	73	793
5584	20	49	778
5576	9	2	783
5476	-32	178	1065
5364	26	-106	489
5472	39	-67	973
5240	-22	213	614
5316	56	-26	918
5588	5	-115	806
5596	-10	-64	714
5616	6	81	842
5524	40	137	800
5468	41	77	808
5404	11	-66	837
5416	22	-30	787
5244	-1	78	789
5372	5	120	793
5584	13	54	771
5584	5	-53	812
5532	28	-22	768
5592	37	63	797
5584	33	93	820
5576	12	25	769
5408	-8	-35	796
5376	10	18	771
5576	15	71	787
5584	16	64	807
5576	15	5	771
5528	11	-17	816
5588	17	33	782
5576	13	69	795
5408	6	56	800
5352	5	7	772
5472	-2	-4	796
5324	14	32	788
5576	25	70	808
5576	28	31	801
5584	9	2	800
5468	2	8	795
5296	6	44	788
5532	-523	-215	300
5372	463	-875	1053
5584	3	-279	673
5428	229	373	991
5340	107	187	738
5516	12	196	950
5644	-104	-82	568
5488	-166	-217	854
5552	7	151	649
5240	76	236	941
5284	96	72	828
5576	82	-115	769
5652	1	-213	865
5596	14	122	732
5468	-36	259	810
5656	-42	146	759
5484	3	-108	756
5596	28	-183	838
5472	96	74	792
5412	58	194	843
5460	33	102	812
5640	-24	-70	756
5436	-35	-89	801
5260	-4	85	764
5364	12	156	819
5468	11	46	816
5404	27	-49	778
5416	15	-58	819
5416	36	72	794
5408	35	139	790
5292	3	55	800
5524	-16	-43	759
5260	-8	-44	771
5388	14	80	804
5572	56	135	789
5464	46	44	823
5584	21	-65	787
5588	1	-48	795
5540	-2	71	791
5540	-4	134	777
5604	4	54	792
5524	15	-49	799
5244	34	-34	805
5240	33	55	835
5408	26	105	779
5464	-4	45	807
5536	-14	0	768
5372	13	-9	765
5536	30	56	832
5576	43	67	791
5584	31	14	818
5576	8	-15	778
5540	7	31	769
5524	3	90	787
5532	17	66	771
5576	9	8	805
5640	28	-24	785
5596	29	26	776
5576	22	75	797
5408	14	58	769
5400	4	2	778
5472	4	-2	794
5660	6	35	784
5524	32	64	804
5580	18	35	793
5576	15	11	795
5584	12	7	788
5520	12	36	797
5576	8	52	808
5532	1	34	782
5524	0	7	778
5296	16	21	799
5584	30	58	800
5576	28	38	794
5580	18	7	777
5520	-1	10	795
5540	2	46	795
5532	6	58	781
5352	12	32	796
5584	30	0	795
5520	30	5	796
5520	34	29	790
5228	26	49	779
5408	1	39	798
5528	6	10	789
5528	1	18	789
5528	11	36	800
5228	20	48	798
5400	26	20	795
5584	14	2	801
5520	19	8	786
5528	12	47	793
5576	6	50	795
5524	0	14	791
5532	18	4	777
5348	22	26	796
5576	26	50	800
5580	23	27	794
5576	17	4	804
5528	13	10	774
5576	14	32	787
5580	7	65	792
5524	8	36	789
5524	12	9	792
5528	7	3	797
5292	15	45	793
5576	6	51	800
5532	6	37	786
5352	12	1	799
5520	13	16	801
5580	8	42	807
5524	17	44	791
5584	19	25	800
5576	10	1	793
5528	10	25	791
5400	20	40	785
5404	14	39	811
5400	5	16	778
5532	9	13	791
5524	9	23	782
5532	10	47	785
5576	11	39	771
5580	16	25	797
5580	11	10	793
5576	19	28	815
5580	20	42	800
5576	12	34	797
5584	5	24	796
5524	14	16	788
5584	6	36	797
5524	17	38	790
5576	6	30	797
5532	8	16	784
5524	20	26	785
5412	14	42	790
5576	9	44	797
5524	6	25	789
5532	6	17	785
5524	7	31	799
5532	9	38	791
5352	16	26	782
5576	22	10	804
5584	12	14	793
5572	14	28	805
5584	2	44	795
5524	1	39	793
5524	8	20	789
5532	19	21	783
5228	22	27	793
5404	15	36	797
5584	8	18	793
5524	17	18	774
5576	6	24	782
5532	12	30	775
5576	10	27	795
5584	14	21	801
5576	23	22	791
5584	22	22	794
5572	11	34	790
5404	14	30	795
5408	16	17	788
5576	5	18	788
5532	7	25	799
5524	7	38	796
5528	29	24	798
5580	11	19	806
5576	12	17	791
5580	7	36	793
5524	8	33	784
5524	7	28	797
5360	5	26	787
5524	10	19	785
5584	11	42	792
5572	14	32	783
5580	18	19	797
5580	1	26	798
5528	7	35	797
5528	18	33	770
5580	9	37	793
5532	12	20	799
5400	11	24	789
5576	14	28	809
5408	17	27	796
5404	12	27	780
5576	3	34	796
5532	12	30	802
5576	9	37	787
5524	10	32	788
5580	6	35	792
5528	16	27	813
5580	17	33	787
5576	21	30	777
5584	16	25	789
5576	12	27	809
5580	7	28	796
5528	2	37	787
5524	19	33	797
5580	13	28	800
5576	16	21	803
5584	18	32	782
5572	7	31	793
5532	11	28	794
5576	7	31	786
5524	-1	32	783
5544	5	37	791
5352	10	25	799
5576	17	25	794
5584	15	17	794
5576	7	28	798
5532	14	34	793
5576	9	27	784
5532	6	32	773
5528	0	37	804
5524	12	29	804
5408	13	28	788
5576	15	27	804
5400	23	19	796
5408	20	27	786
5580	5	34	792
5528	11	32	777
5576	8	21	793
5524	12	28	808
5584	15	24	784
5576	18	23	788
5584	11	22	787
5576	20	29	790
5584	11	27	791
5576	4	27	785
5524	9	33	797
5532	-3	27	791
5540	12	35	785
5580	18	17	776
5580	11	27	790
5580	14	26	788
5576	10	29	800
5584	3	31	800
5524	10	33	779
5576	11	28	789
5584	19	19	780
5576	14	23	811
5580	19	26	794
5576	13	26	788
5584	11	31	793
5404	11	19	788
5400	9	25	797
5532	5	35	796
5524	11	19	808
5576	15	34	790
5584	22	27	779
5576	15	27	788
5580	8	22	787
5528	19	22	793
5580	9	22	790
5524	15	30	788
5576	14	30	782
5584	13	24	784
5576	10	26	791
5584	18	35	794
5572	16	31	787
5584	8	14	778
5524	17	30	789
5584	8	36	790
5524	7	33	797
5524	14	27	798
5412	9	31	795
5524	16	26	787
5576	14	35	811
5584	12	35	776
5576	17	26	791
5408	7	24	793
5352	3	30	789
5524	2	36	782
5532	9	18	798
5352	15	26	789
5576	27	20	785
5584	8	19	792
5524	19	31	797
5584	8	35	792
5524	1	25	788
5528	0	26	792
5528	5	27	793
5352	1015	266	17
