delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5536	6	-57	795
5536	5	-28	782
5540	10	13	798
5576	20	27	807
5584	6	36	783
5524	3	14	781
5352	34	12	829
5580	46	25	774
5576	35	14	785
5584	30	4	789
5520	26	17	794
5576	28	0	797
5528	32	-88	806
5588	15	79	779
5584	32	19	811
5576	21	4	811
5524	24	35	782
5580	31	-3	798
5532	7	19	786
5532	22	5	788
5348	5	42	804
5524	-15	29	815
5600	8	9	778
5468	3	7	792
5296	-4	16	792
5548	6	24	786
5352	-6	26	815
5544	5	43	767
5528	-1	34	814
5536	1	27	799
5360	4	11	758
5524	-17	16	800
5592	0	27	782
5532	0	20	807
5524	-7	40	807
5364	11	34	745
5580	-7	9	825
5480	5	44	770
5532	11	-1	834
5360	4	49	780
5524	4	70	789
5532	-9	79	788
5540	4	34	783
5352	9	-59	811
5540	15	9	791
5520	19	64	778
5584	6	88	801
5524	30	28	789
5400	15	-8	812
5540	17	-9	800
5536	31	14	790
5576	13	75	780
5584	26	123	779
5460	8	63	785
5360	17	-77	805
5588	26	-16	794
5592	16	23	822
5584	27	94	835
5400	17	96	799
5404	-1	38	804
5548	5	-62	830
5536	36	30	785
5584	12	5	835
5520	11	28	785
5580	23	23	802
5576	8	-39	799
5536	13	-37	758
5596	0	0	797
5644	2	99	770
5532	10	49	799
5576	-1	-27	816
5552	13	-38	798
5592	-30	67	777
5424	-14	16	838
5424	-14	-14	802
5436	-30	7	776
5540	8	12	807
5356	5	-99	813
5536	18	74	796
5584	29	79	779
5576	23	33	856
5576	15	-18	777
5596	16	1	774
5524	23	-38	830
5596	12	44	752
5572	17	104	808
5468	21	-34	837
5244	14	-31	779
5416	28	63	840
5400	18	-23	838
5420	36	64	786
5408	19	65	809
5400	21	10	764
5576	31	5	789
5528	13	-3	754
5536	7	-5	804
5484	21	53	795
5400	7	91	802
5524	11	82	815
5584	5	6	802
5468	14	-30	783
5244	25	29	791
5408	-14	66	761
5420	12	56	781
5400	10	38	792
5584	-4	-1	813
5492	22	37	785
5576	4	39	813
5532	2	62	778
5524	-10	-22	797
5264	-9	105	728
5248	-24	-25	800
5268	-22	21	774
5248	11	-10	806
5240	-13	150	788
5308	1	106	777
5584	-19	-93	866
5616	5	-38	778
5536	-3	42	783
5544	7	52	824
5524	4	31	766
5352	11	45	797
5580	8	36	805
5524	32	13	789
5584	7	10	818
5524	17	54	804
5576	49	24	758
5580	-20	21	754
5596	13	-26	847
5596	13	-15	745
5592	32	81	833
5580	25	2	800
5520	15	15	784
5580	47	108	907
5464	22	6	688
5700	39	-33	837
5416	44	-35	838
5416	27	9	702
5520	23	11	854
5580	11	26	753
5576	46	68	807
5584	-30	-43	809
5436	6	54	761
5348	18	11	836
5584	-14	16	785
5596	11	-10	692
5424	0	93	837
5348	12	-7	791
5536	-2	-15	756
5552	12	-42	881
5588	27	-46	747
5600	-3	99	814
5536	-24	114	802
5480	-11	46	744
5428	9	-25	864
5532	6	-74	799
5536	12	49	794
5584	-11	29	816
5592	-4	113	801
5432	-17	-4	790
5380	-21	-34	833
5436	3	-4	754
5304	36	69	842
5584	-53	31	791
5596	-11	124	747
5488	0	35	788
5348	20	37	852
5576	43	40	753
5584	-5	-7	787
5492	15	8	784
5528	29	12	810
5400	27	16	847
5576	23	26	753
5408	-9	120	791
5248	13	59	783
5404	10	-142	844
5472	21	66	770
5580	-6	143	775
5596	9	95	773
5532	8	24	770
5524	1	-16	822
5360	26	-77	774
5596	24	-48	838
5588	55	44	850
5404	-18	162	744
5312	-4	41	784
5540	-1	-42	815
5376	-3	-2	820
5496	5	42	778
5528	-18	153	748
5660	-1	88	831
5536	2	-31	753
5536	-10	-112	828
5496	5	-77	799
5364	14	-54	767
5588	-4	113	800
5608	52	124	795
5464	-21	-37	761
5616	5	18	835
5524	-7	-96	819
5556	49	25	747
5572	5	223	810
5588	35	51	836
5580	7	-50	736
5536	-4	-89	822
5556	16	-79	771
5592	28	16	801
5580	42	111	809
5636	11	72	745
5404	16	-88	852
5420	-1	-22	699
5548	0	125	884
5592	35	176	715
5464	-20	-3	852
5552	13	32	783
5584	13	-23	778
5588	22	-13	811
5596	34	33	771
5580	35	-39	813
5596	8	-37	764
5536	27	-68	824
5596	-36	79	810
5420	41	181	735
5292	5	145	796
5584	-2	-55	808
5560	-3	-43	809
5548	-3	12	833
5544	32	-92	802
5416	30	121	763
5460	3	173	855
5592	-2	38	726
5540	12	-58	813
5596	-13	-110	814
5492	38	-30	760
5416	-6	121	800
5432	-17	135	795
5652	8	71	729
5532	21	-6	879
5536	37	-24	780
5592	46	65	794
5580	36	29	822
5576	-8	3	774
5484	3	43	806
5352	38	-114	842
5472	2	42	720
5352	20	15	764
5580	-19	64	862
5596	30	24	701
5584	21	89	863
5400	19	25	812
5404	40	-7	771
5540	-37	48	848
5592	9	69	750
5532	-16	-19	818
5608	15	97	839
5580	46	-30	747
5420	20	-81	866
5240	27	16	743
5404	24	195	783
5468	33	120	853
5636	64	23	747
5584	-3	-90	831
5548	8	-106	782
5596	-22	-4	759
5560	-39	134	817
5480	37	101	774
5640	-8	37	797
5540	58	-94	822
5596	27	162	855
5464	-30	61	745
5248	-11	-7	793
5380	-15	0	814
5540	22	-51	785
5592	-19	-6	781
5560	26	67	873
5576	-6	-6	640
5492	0	-76	878
5544	17	209	795
5636	14	32	779
5584	7	52	817
5524	-13	1	775
5544	6	-46	845
5532	-30	-18	782
5264	-28	-15	767
5260	-20	-37	869
5612	-21	123	655
5656	-51	150	863
5488	-19	57	764
5592	-5	-94	764
5556	-11	-75	856
5608	19	121	722
5464	41	155	832
5640	-25	83	851
5596	77	-47	776
5596	-2	-126	888
5428	23	-59	706
5244	45	4	824
5348	57	147	825
5640	106	130	841
5512	-18	-76	780
5616	55	4	847
5516	-2	19	820
5548	-17	45	759
5592	-23	131	768
5484	21	-62	855
5592	8	51	781
5528	7	78	815
5356	3	26	786
5524	69	44	782
5580	20	-32	844
5596	30	-55	767
5588	-12	-23	786
5444	15	120	804
5288	22	-4	803
5532	51	-110	840
5300	32	40	797
5580	23	185	803
5636	-12	101	791
5488	6	-126	873
5592	12	-84	772
5600	6	-56	840
5532	31	-76	770
5592	-14	177	776
5488	-24	123	785
5304	9	79	793
5528	11	-44	783
5248	12	-144	835
5300	9	33	772
5524	4	133	780
5412	31	142	846
5468	-40	-49	744
5608	40	-56	827
5596	-2	41	783
5536	26	2	783
5520	-52	58	744
5604	55	71	820
5576	18	-48	763
5596	10	-117	827
5472	32	-109	724
5652	60	128	844
5460	17	195	818
5288	21	95	772
5584	45	-68	801
5588	37	-83	831
5596	46	42	758
5576	4	229	855
5588	23	148	773
5468	-16	-71	775
5608	45	-50	798
5596	14	-120	785
5472	68	64	859
5404	-57	132	656
5488	123	120	910
5512	-38	116	727
5664	7	-149	795
5592	-6	-76	810
5556	-8	53	758
5540	20	70	863
5576	16	111	752
5472	-32	59	893
5244	-7	68	692
5368	13	-103	829
5472	-1	-23	876
5556	17	48	725
5400	70	3	857
5528	-29	-29	849
5608	33	-43	699
5416	18	171	894
5288	-28	125	752
5660	3	2	788
5468	5	-10	832
5540	17	-69	786
5416	14	-26	788
5420	-45	89	826
5244	-20	102	764
5316	28	12	823
5572	20	-76	754
5600	34	-79	767
5588	120	63	896
5460	33	95	765
5408	46	44	816
5400	32	-13	838
5416	62	105	722
5468	4	126	781
5588	-25	-108	816
5488	-37	45	820
5428	84	-84	872
5416	69	-122	727
5296	35	161	797
5644	-44	139	867
5480	73	46	733
5576	38	-164	825
5652	-28	-76	747
5436	7	119	758
5416	-9	244	880
5420	43	123	752
5288	10	-140	813
5644	-4	-30	830
5556	27	0	717
5520	41	81	801
5584	-1	50	826
5540	-24	55	816
5600	-17	-64	824
5608	13	-57	792
5596	-33	-32	746
5436	-36	111	813
5308	3	130	755
5588	0	27	796
5528	21	153	794
5636	26	-105	780
5480	13	-19	843
5588	21	1	751
5528	8	-195	886
5248	122	181	751
5336	20	199	846
5636	24	95	769
5584	-23	-66	752
5432	-9	-66	872
5556	-33	8	778
5364	-28	96	788
5596	22	108	763
5468	-61	17	755
5592	6	-15	832
5540	69	-35	820
5592	-24	116	770
5480	51	22	836
5408	-7	-45	788
5552	30	49	814
5580	70	92	771
5580	10	154	796
5460	8	-122	765
5604	-37	-85	793
5608	13	-18	670
5592	-27	44	867
5424	-44	137	735
5308	-28	23	735
5600	-12	-179	896
5488	-10	-140	750
5320	2	189	817
5588	9	222	878
5584	-1	70	801
5548	2	-77	716
5536	-15	-76	769
5608	-53	-44	834
5612	6	90	739
5528	-4	112	820
5604	-12	-30	822
5436	-7	-190	768
5256	-66	-7	798
5380	-19	51	801
5600	13	195	756
5464	-59	112	786
5660	13	86	726
5576	-7	-119	826
5436	-6	60	778
5364	65	-163	835
5472	46	156	749
5644	2	208	883
5584	49	95	814
5580	-41	-25	795
5436	19	-80	833
5416	19	-120	804
5480	2	4	792
5644	-25	185	806
5480	12	166	696
5636	44	-17	800
5592	61	-122	867
5480	33	-52	770
5588	22	48	842
5584	6	174	760
5584	90	125	777
5464	19	-47	827
5248	2	-165	808
5244	68	-33	749
5416	63	62	814
5576	-73	218	901
5488	68	14	761
5576	30	-122	886
5480	15	-89	834
5416	-47	16	713
5420	57	229	942
5288	-1	204	705
5600	-17	-54	788
5612	-1	-35	862
5552	34	14	712
5576	-2	36	846
5548	15	-13	794
5588	-61	-13	721
5436	-23	-52	794
5264	-13	12	810
5424	53	2	832
5520	-13	54	780
5604	20	182	797
5460	86	-107	813
5648	-19	106	823
5484	31	-124	880
5648	116	-46	772
5476	10	278	809
5636	22	91	742
5584	-27	19	815
5592	18	-158	848
5476	7	-110	742
5600	-33	-48	813
5608	-100	225	737
5536	51	104	748
5640	-31	67	842
5424	38	-79	793
5244	38	-110	823
5300	-11	-32	801
5608	41	302	720
5468	68	196	771
5288	-16	-106	897
5312	16	-259	728
5652	-16	12	771
5420	-7	62	920
5364	11	100	686
5464	4	-44	875
5540	50	-41	808
5416	19	-85	781
5416	-48	189	765
5316	45	173	822
5632	34	80	769
5584	76	-162	885
5472	42	97	757
5576	55	34	803
5584	124	50	767
5632	2	-75	836
5540	-65	12	753
5592	-25	-70	803
5436	37	49	843
5408	-29	353	721
5484	16	-117	799
5652	-12	-18	868
5436	45	-174	757
5296	1	173	805
5592	-50	199	822
5480	147	210	688
5340	76	-161	926
5472	-28	-132	733
5324	22	-129	760
5644	-18	96	819
5600	13	266	784
5464	4	8	771
5648	-61	-68	833
5436	58	-171	856
5296	26	-52	800
5588	-21	192	795
5488	-22	284	721
5308	22	-75	869
5588	49	-112	780
5652	34	-85	754
5416	30	125	818
5292	-6	118	746
5608	-14	-117	803
5488	-19	-75	737
5264	-64	43	735
5252	-4	171	859
5420	86	34	859
5404	49	-27	757
5416	23	7	853
5528	-21	120	730
5480	44	26	811
5580	-91	60	834
5596	27	-205	762
5652	22	86	794
5404	21	-84	860
5416	33	171	805
5464	-59	260	646
5660	-27	-308	983
5488	-63	-89	758
5616	-22	15	673
5596	37	295	999
5468	-20	123	703
5656	8	-74	797
5540	-2	-133	842
5604	134	-176	814
5528	67	97	802
5580	-30	176	809
5484	10	207	747
5640	-6	-152	801
5604	48	-172	868
5476	73	24	784
5576	48	291	803
5644	21	77	711
5576	36	-134	888
5472	41	90	783
5584	52	40	794
5576	-59	-32	821
5616	-31	-92	793
5608	39	-48	820
5416	6	74	860
5356	25	99	831
5576	-42	74	777
5604	-46	8	823
5536	1	-56	797
5536	-21	101	753
5488	46	41	800
5404	-26	63	826
5420	-24	-102	736
5324	-39	6	829
5536	30	-60	839
