delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5584	27	33	798
5576	24	28	782
5580	22	24	787
5576	11	25	801
5584	11	30	796
5576	6	28	790
5524	18	27	784
5584	29	21	788
5576	16	24	803
5584	2	26	794
5524	9	27	779
5532	8	25	784
5520	15	31	803
5404	16	26	807
5408	25	16	787
5400	3	26	784
5524	13	30	784
5584	16	23	784
5572	18	22	794
5584	9	21	809
5524	11	17	790
5576	11	25	783
5584	2	36	810
5524	15	22	790
5584	21	28	790
5576	24	19	800
5580	20	29	799
5576	7	24	797
5528	7	25	806
5528	12	19	778
5576	9	33	784
5532	14	37	801
5576	13	26	789
5580	10	24	781
5576	8	15	780
5528	14	27	793
5580	27	28	799
5576	17	27	795
5584	12	18	798
5576	12	13	775
5580	5	22	781
5528	16	25	803
5572	11	27	815
5584	27	21	779
5576	20	28	808
5584	24	29	799
5576	17	23	795
5584	16	24	790
5576	11	22	790
5584	6	30	785
5524	15	20	795
5576	11	31	802
5580	11	29	779
5580	4	15	772
5528	4	17	801
5524	23	29	799
5584	20	35	787
5576	13	44	797
5584	6	36	783
5524	21	10	788
5576	20	18	787
5580	-1	37	801
5540	4	43	790
5532	9	19	772
5524	8	15	781
5352	7	20	797
5532	4	31	789
5524	13	24	803
5400	22	17	800
5408	26	21	803
5404	17	35	787
5576	16	38	800
5408	7	40	795
5352	1	21	787
5524	8	22	814
5532	23	30	792
5404	11	34	805
5400	6	38	796
5352	9	11	776
5532	3	26	779
5524	14	24	787
5404	6	30	795
5532	13	33	779
5576	14	28	791
5580	18	37	805
5576	17	34	796
5404	16	33	789
5408	5	20	795
5524	5	29	795
5532	20	25	790
5576	23	34	778
5576	10	29	780
5584	14	17	773
5576	14	17	807
5580	19	32	816
5576	15	31	789
5584	22	23	793
5404	14	27	792
5404	3	22	786
5528	-1	42	791
5540	10	27	789
5584	6	22	785
5524	11	21	795
5576	17	21	799
5584	13	30	788
5576	9	30	790
5532	3	21	789
5524	12	26	796
5404	11	29	792
5408	18	27	803
5400	18	32	790
5576	15	29	795
5412	15	29	770
5400	4	23	801
5524	7	18	800
5528	15	18	787
5576	8	18	788
5532	9	35	779
5700	4	25	790
5524	11	34	795
5584	25	24	780
5576	27	18	786
5584	17	13	783
5400	7	29	800
5352	12	33	799
5580	12	25	794
5576	15	29	798
5584	20	23	796
5576	12	26	807
5584	7	28	800
5524	7	34	788
5524	7	28	778
5532	3	35	786
5524	15	29	783
5404	18	40	779
5580	14	20	782
5404	21	22	778
5404	13	25	779
5580	14	33	819
5404	8	32	786
5352	14	15	794
5584	14	21	790
5576	9	13	796
5532	11	34	794
5576	17	28	787
5584	4	29	785
5524	8	15	805
5524	9	24	799
5700	12	27	780
5404	19	20	804
5408	13	19	793
5572	6	27	792
5528	13	29	784
5580	17	33	800
5576	7	22	792
5532	8	23	802
5524	5	35	782
5524	11	36	798
5408	6	36	791
5524	12	33	781
5584	6	33	799
5524	16	26	781
5576	19	23	796
5584	0	23	777
5524	19	32	786
5584	18	32	781
5576	20	20	787
5580	19	23	799
5576	29	29	792
5584	9	18	787
5524	12	18	789
5580	15	17	793
