delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5536	29	-114	797
5648	-47	62	928
5424	86	-2	671
5360	-10	79	832
5596	78	167	750
5468	-11	-101	777
5492	116	-164	929
5352	-7	-92	716
5556	94	-29	812
5588	79	283	700
5472	-79	168	766
5652	-71	-149	864
5492	132	-255	740
5536	-78	-66	709
5608	40	263	887
5468	15	313	567
5288	-96	27	849
5592	-28	-200	793
5496	25	-364	739
5300	-13	21	859
5596	88	341	694
5468	27	224	946
5288	-2	-43	748
5548	56	-241	782
5652	-17	-80	870
5436	12	181	642
5288	76	98	947
5580	-34	218	769
5656	-7	-62	665
5556	-72	-240	837
5492	23	-77	704
5588	13	92	785
5584	-32	185	822
5480	63	25	782
5584	-37	-38	888
5608	21	-6	596
5540	8	-48	763
5536	-52	157	903
5480	96	91	745
5232	-49	22	828
5252	-39	11	797
5248	-35	-108	684
5316	93	-106	903
5644	16	53	730
5412	-76	131	877
5304	54	119	712
5636	47	-59	784
5424	-76	-15	882
5260	72	13	648
5404	21	-87	922
5416	11	197	837
5296	53	145	685
5636	-90	-47	804
5432	-41	-204	752
5324	6	-156	729
5596	12	177	786
5464	-33	214	786
5660	75	-50	938
5592	37	-188	715
5480	-65	-38	790
5604	26	308	829
5468	36	117	726
5636	-45	-58	838
5436	7	-275	825
5248	22	-68	768
5424	-22	64	921
5420	58	267	642
5288	-10	0	975
5544	61	53	675
5576	-50	-144	775
5492	33	147	836
5296	64	161	835
5632	53	-58	817
5596	-113	-55	774
5492	104	-25	781
5472	99	-30	869
5244	-2	65	762
5376	-24	7	919
5536	-1	-30	747
5552	-41	-56	837
5612	32	-32	923
5420	122	18	616
5284	7	113	982
5588	-63	162	865
5656	33	-43	639
5420	-63	-47	955
5608	-89	40	694
5600	68	-123	851
5472	-10	-44	815
5608	14	116	727
5640	-9	79	796
5540	56	48	746
5408	38	23	906
5404	-23	90	693
5420	-9	-121	842
5256	35	60	806
5228	43	157	694
5296	18	-92	942
5592	61	-97	771
5596	-44	61	786
5596	-46	77	713
5420	-2	41	710
5372	13	-76	847
5592	-18	-168	847
5492	40	-74	750
5596	-31	341	919
5480	4	272	622
5592	-79	-2	734
5552	24	-285	939
5472	41	-183	706
5308	-22	-12	872
5608	21	350	718
5460	-6	71	1017
5264	-12	-61	592
5260	-17	-266	911
5664	2	35	859
5532	47	210	688
5460	12	110	851
5288	-9	136	917
5600	17	-137	809
5472	22	-55	900
5244	-97	52	710
5420	23	-30	769
5424	-39	296	772
5656	5	-45	800
5540	9	-182	943
5592	59	57	540
5584	-31	95	809
5420	5	338	717
5584	17	-65	703
5600	78	-181	942
5472	35	-58	744
5244	-84	-30	845
5260	77	71	799
5228	-75	219	768
5316	29	75	822
5576	43	-66	664
5596	-5	-105	939
5604	-12	129	688
5480	-53	17	777
5600	95	89	866
5576	14	96	791
5584	36	-62	739
5416	-77	-191	871
5320	11	-47	770
5596	-81	179	747
5480	47	246	841
5640	4	-162	1070
5476	118	-47	645
5644	-41	-116	968
5500	-78	366	675
5480	55	85	680
5400	-33	-46	935
5444	16	-201	779
5644	-27	-206	859
5496	34	39	795
5576	70	357	827
5644	42	259	865
5464	-17	-41	774
5608	-24	-262	816
5496	22	-71	729
5592	71	91	804
5580	-252	250	823
5532	178	84	799
5640	-12	-174	999
5492	-10	-69	711
