delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5536	6	-30	794
5544	12	-1	821
5532	-3	-10	804
5380	13	-3	796
5536	16	-57	806
5592	17	-48	801
5596	36	-5	790
5536	23	3	803
5524	17	4	783
5524	-7	12	805
5364	-10	-1	791
5556	-2	-2	773
5496	-9	-56	815
5372	2	21	787
5532	17	-10	810
5592	20	12	809
5580	22	-9	786
5536	-5	20	803
5536	5	8	811
5652	-32	24	790
5420	-13	64	791
5428	-1	35	762
5540	-5	8	801
5476	-5	-6	768
5676	2	-2	805
5476	3	-17	816
5540	-2	37	771
5368	-4	29	795
5536	-10	2	822
5548	15	-47	805
5588	18	-26	832
5596	4	-27	802
5536	5	-8	767
5476	-8	41	805
5372	16	34	758
5576	1	-20	788
5536	14	-65	835
5596	18	-80	795
5592	11	-38	799
5596	22	-9	806
5536	16	-14	802
5596	24	-44	816
5416	6	-8	803
5304	-8	-1	781
5672	-17	27	790
5424	-8	12	801
5364	0	-18	782
5540	-4	5	800
5652	19	-36	796
5424	12	-3	784
5360	-8	12	808
5536	9	24	782
5532	15	2	838
5692	-23	66	791
5424	-15	22	803
5252	0	5	801
5288	-2	51	797
5540	-9	46	794
5368	-6	49	769
5540	-3	10	827
5540	13	-20	793
5596	11	-20	781
5592	-11	16	824
5600	10	13	785
5576	10	9	814
5520	-6	-32	783
5560	10	6	802
5520	15	42	830
5584	-1	-13	799
5548	-10	8	827
5544	-1	-11	768
5376	20	-28	798
5592	6	-40	795
5540	25	-21	807
5588	23	-44	806
5596	23	19	799
5580	18	-32	805
5416	16	-17	805
5240	15	-12	816
5424	38	-101	814
5472	-1	53	786
5540	8	-8	799
5660	15	23	779
5576	-9	-70	810
5560	5	-30	769
5532	-5	-10	801
5556	-7	-5	813
5668	14	-11	793
5424	12	-14	806
5240	2	-10	823
5360	10	-29	778
5592	1	14	801
5532	5	46	789
5520	5	51	779
5532	0	14	809
5352	-21	-5	807
5552	-5	-24	818
5556	19	45	773
5572	-10	60	805
5604	6	22	804
5524	3	12	807
5524	-14	-42	797
5260	-1	-19	830
5384	5	45	764
5524	-9	47	800
5548	1	13	792
5524	-19	-95	784
5260	5	41	812
5352	11	9	791
5528	-11	34	802
5592	20	-51	817
5596	24	-31	841
5592	17	-41	817
5596	1	-87	822
5532	25	19	812
5576	7	20	793
5532	20	-117	823
5472	8	36	777
5352	7	-17	825
5540	24	44	783
5576	13	-30	781
5596	10	-33	780
5592	-18	-26	825
5612	14	19	791
5576	-9	-10	803
5548	-5	6	800
5492	-4	-18	781
5544	-11	28	796
5604	-2	20	792
5536	-11	34	811
5604	-6	26	814
5536	-22	-65	815
5608	17	-23	813
5596	-4	21	783
5540	0	69	809
5528	-18	55	805
5596	4	-46	782
5540	1	-39	805
5364	1	-83	771
5532	-9	82	784
5544	17	79	833
5576	39	14	798
5584	-2	-106	824
5604	0	-4	822
5480	11	-3	801
5536	3	-27	792
5360	37	-31	820
5596	-32	66	775
5596	19	1	774
5520	13	-46	794
5596	9	-88	764
5536	-10	-66	823
5616	17	37	775
5576	11	3	767
5524	3	11	832
5524	17	-93	794
5592	34	3	830
5524	18	-53	821
5244	9	23	768
5348	23	43	825
5584	11	-33	786
5588	4	-46	778
5536	16	-35	835
5596	3	52	727
5524	-18	48	831
5600	-19	-29	834
5608	-12	-57	800
5440	-33	0	816
5364	-9	59	771
5540	-4	23	763
5544	2	32	823
5524	-5	-75	816
5376	8	13	781
5532	25	83	815
5576	7	99	781
5532	6	2	772
5640	-23	-139	844
5492	18	-29	768
5596	20	64	796
5576	13	80	787
5584	38	-1	794
5536	19	-100	831
5652	14	-79	820
5588	12	63	781
5584	3	65	826
5520	5	-1	776
5480	21	-130	825
5652	5	-103	775
5596	29	38	861
5580	29	56	849
5576	-5	22	772
5544	-7	-63	834
5548	1	-63	810
5536	37	-29	792
5596	38	8	832
5524	-5	43	761
5544	3	5	819
5296	-5	19	802
5536	-15	-153	792
5672	-11	1	788
5540	-5	71	818
5544	5	21	769
5524	15	-40	810
5244	-8	63	839
5364	1	-28	769
5540	11	88	789
5576	-12	-28	823
5616	-15	-7	793
5552	6	4	779
5476	21	-49	808
5240	3	54	789
5352	22	8	835
5520	22	-24	772
5596	1	-40	838
5536	-7	90	776
5544	-7	81	795
5364	-25	1	816
5540	12	-57	773
5596	4	-64	814
5532	14	18	756
5584	-21	41	797
5596	22	-6	809
5532	55	-84	862
5596	24	45	798
5580	17	-9	796
5540	0	-39	788
5536	3	-73	794
5540	26	-32	794
5244	12	29	788
5404	-17	30	795
5420	-9	-37	801
5376	-7	-32	756
5552	-24	1	850
5540	12	40	787
5584	-32	-40	795
5608	13	-30	795
5596	9	-62	785
5536	29	-80	814
5596	-13	-80	827
5436	-14	137	779
5308	-2	171	755
5600	5	-8	838
5652	8	-109	843
5420	-49	-78	755
5268	-30	82	804
5248	-10	52	738
5420	-10	21	817
5420	-6	-22	857
5376	-20	-74	776
5440	17	-17	820
5416	20	40	837
5580	-1	67	767
5540	4	31	816
5524	39	18	806
5584	67	-38	822
5588	17	12	818
5584	8	65	851
5524	-42	21	742
5600	-2	-101	828
5604	-55	-1	792
5552	-15	-6	779
5560	-26	-122	799
5492	32	47	771
5580	57	29	868
5576	-10	-52	809
5616	30	-8	783
5532	22	40	835
5576	25	-28	777
5596	14	0	790
5524	5	-25	844
5540	-3	-24	782
5376	1	32	820
5524	-12	-97	818
5612	-11	-59	798
5436	-20	66	832
5424	20	83	785
5408	4	-9	814
5304	-24	-80	812
5608	10	-92	826
5596	21	-23	788
5588	-54	112	783
5488	25	98	766
5576	-8	29	823
5548	9	-35	775
5360	-6	-30	808
5548	9	-2	767
5484	18	17	855
5404	12	18	805
5576	24	-29	797
5420	-4	-25	819
5376	7	111	754
5584	1	45	827
5532	24	-93	850
5588	40	-24	776
5596	16	14	830
5576	6	105	765
5412	16	-26	858
5424	-43	-39	811
5432	-4	-63	728
5552	-19	-56	814
5260	-10	-9	755
5384	-25	65	818
5596	-5	-57	857
5556	18	-114	822
5472	-14	35	799
5596	15	212	837
5644	26	-24	796
5588	-17	-115	822
5496	-46	-228	803
5492	22	-139	805
5300	54	177	831
5640	10	213	795
5464	9	-43	795
5360	-17	-99	825
5616	-36	-34	747
5432	-20	-43	816
5264	15	79	748
5580	-5	108	796
5596	40	-7	828
5540	74	-48	751
5592	36	25	899
5580	3	6	754
5644	-36	55	784
5424	-54	58	796
5428	-25	-49	786
5432	-27	-62	831
5260	41	9	805
5348	-3	64	790
5544	-2	-69	802
5548	33	13	721
5584	5	8	825
5640	40	-34	776
5420	15	95	805
5408	-1	21	877
5536	1	-94	743
5544	-15	-24	799
5608	-15	-20	840
5608	14	-134	782
5476	-12	99	793
5596	2	148	844
5592	13	-9	752
5536	17	-74	832
5596	41	-161	821
5472	37	-147	793
5300	81	75	818
5580	48	133	810
5636	37	66	767
5584	-11	-26	833
5432	-1	-209	822
5432	-27	-10	837
5436	-62	73	750
5600	-30	16	755
5596	-24	62	839
5600	-9	-71	809
5548	43	-146	786
5480	3	81	885
5348	-3	140	671
5596	6	12	893
5532	-10	-45	799
5608	-2	-75	731
5556	25	-62	843
5588	16	88	790
5580	-2	-42	786
5552	28	87	749
5576	26	137	848
5468	-26	-69	792
5264	3	-8	790
5304	-23	-58	800
5616	73	-53	830
5588	5	97	864
5524	5	46	719
5532	-54	-75	776
5608	-29	-64	800
5616	-44	-101	850
5488	-20	20	768
5600	-13	84	794
5592	33	49	881
5576	-15	-18	730
5616	-12	29	809
5420	151	-75	915
5300	8	-1	796
5660	27	87	789
5576	41	40	777
5584	-11	-119	838
5488	53	-140	829
5652	-20	62	742
5420	48	14	731
5404	-26	114	867
5488	-58	-4	800
5552	-11	-68	763
5616	-41	-49	805
5608	46	-38	788
5596	10	-26	797
5592	0	199	794
5412	51	57	798
5408	92	-30	779
5416	-16	-205	832
5320	60	-17	889
5596	3	53	573
5524	-90	138	903
5656	-36	33	748
5600	-21	-19	727
5436	29	-123	885
5296	-16	-59	725
5616	-39	16	842
5592	5	39	796
5532	-8	200	765
5592	16	68	856
5584	48	-26	849
5592	10	-238	735
5472	-5	-82	834
5560	44	12	758
5576	7	51	852
5532	12	-65	820
5416	-10	114	738
5480	-6	64	829
5544	-14	-24	780
5608	-28	-108	820
5496	3	23	771
5352	-8	-71	790
5548	22	123	835
5640	-11	139	790
5484	-1	-125	809
5608	-25	-170	797
5492	24	-61	822
5240	35	56	792
5404	12	122	798
5468	-9	-5	757
5664	57	-3	812
5544	-33	-93	855
5608	3	134	759
5588	21	87	824
5404	79	54	818
5400	9	2	747
5472	-20	-192	908
5668	89	-5	695
5536	42	144	849
5468	-8	69	801
5364	-15	-90	777
5608	-36	-187	884
5500	-17	-2	706
5552	-34	94	816
5600	-9	202	837
5592	46	11	803
5584	34	-106	822
5472	86	-202	875
5300	39	-43	837
5596	43	156	748
5636	20	82	844
5580	22	-40	782
5420	-3	-221	804
5256	-58	-184	812
5316	-58	120	744
5660	2	253	832
5584	11	84	798
5404	20	-31	838
5420	54	-172	855
5472	-7	-148	776
5612	52	57	785
5576	19	-61	875
5592	42	48	740
5580	82	103	852
5464	98	33	781
5584	71	-39	832
5588	24	-52	791
5600	-38	-65	783
5608	25	39	821
5580	36	174	768
5464	-103	31	784
5652	-83	-112	774
5496	-76	-151	851
5664	-53	17	736
5604	-17	27	871
5416	-14	92	735
5248	-15	19	837
5428	60	-20	774
5416	8	-60	831
5360	98	94	829
5576	3	22	799
5532	-7	-54	779
5548	-80	60	821
5600	-27	-23	794
5608	-38	6	774
5548	-8	-181	896
5604	-2	-69	724
5552	-28	78	797
5596	29	220	810
5464	54	-5	750
5540	53	-26	896
5416	106	-118	842
5528	1	-165	802
5600	21	91	817
5576	24	171	785
5472	100	-86	853
5644	62	-119	829
5480	-14	-81	805
5604	-1	3	789
5660	-68	266	720
5480	-9	41	853
5540	-36	-198	836
5668	-32	-133	743
5492	-62	-67	800
5616	11	-56	764
5588	-22	359	734
5488	62	85	850
5576	27	-160	778
5652	28	-236	887
5472	-57	40	719
5596	37	79	780
5584	-4	80	843
5536	20	-44	785
5596	92	-8	839
5536	31	-55	787
5244	-47	-39	779
5260	-16	3	797
5372	45	41	800
5576	-32	37	834
5596	-59	138	764
5484	58	-35	832
5592	19	-57	726
5596	8	22	804
5524	-25	132	825
5660	0	38	775
5524	16	-61	821
5596	0	-275	817
5596	-28	-26	764
5436	-69	78	816
5600	-36	211	763
5652	31	-12	786
5424	-19	-151	832
5316	-23	-103	763
5664	47	9	830
5528	-2	73	795
5540	-19	21	755
5600	1	20	769
5524	89	-136	822
5644	45	-172	891
5480	45	206	730
5636	-9	-36	879
5556	-23	16	691
5592	15	-131	833
5480	24	-95	801
5244	26	158	757
5288	37	150	841
5636	34	-28	788
5596	-48	-86	821
5608	38	-131	820
5480	69	18	796
5576	-19	151	794
5480	49	50	871
5412	0	-68	748
5532	-20	-131	837
5500	16	-86	822
5588	72	34	801
5576	24	220	808
5640	20	-27	879
5592	-15	-35	849
5440	13	-35	759
5244	-29	89	752
5420	-94	44	799
5420	-12	-21	765
5268	-38	-262	823
5316	-23	-109	781
5668	-16	30	815
5424	-35	192	834
5308	41	95	761
5576	-17	-69	787
5616	-23	-144	880
5488	56	-99	769
5596	-21	105	834
5656	43	1	874
5520	-34	92	761
5600	77	-150	806
5472	-31	22	887
5600	-17	5	699
5536	-89	-59	801
5616	41	-123	893
5644	50	-185	770
5476	48	57	735
5580	-16	221	900
5656	-167	118	656
5536	-44	-133	821
5492	16	-66	826
5596	10	-189	792
5644	-56	139	764
5488	-35	92	867
5596	60	-31	853
5588	41	-135	766
5480	-38	-101	822
5320	12	71	778
5576	-13	73	775
5600	3	86	874
5524	48	-119	754
5652	-1	13	800
5540	25	28	900
5580	76	12	749
5576	-181	21	731
5480	-3	-226	918
5608	-63	-68	653
5608	-55	112	767
5488	-64	176	874
5656	20	17	723
5580	-10	-111	836
5492	-118	-63	859
5672	-3	39	707
5536	-45	165	804
5480	-25	-117	831
5668	19	-1	805
5536	-5	-58	846
5556	-20	27	681
5592	19	46	825
5584	-3	-154	861
5604	69	-221	759
5480	65	153	763
5636	-11	171	909
5480	15	84	699
5580	53	-169	834
5648	16	-122	824
5480	61	-56	758
5240	-40	140	775
5308	13	250	883
5644	13	-204	781
5472	-61	-244	817
5664	9	-95	816
5540	49	202	822
5636	-13	108	826
5484	19	-88	781
5592	-12	25	827
5600	23	-10	765
5588	-1	50	726
5540	11	-44	842
5592	38	-194	868
5476	20	-89	740
5596	-31	155	728
5656	-72	243	821
5484	5	-40	746
5536	24	-87	865
5592	-27	-115	860
5668	-40	-18	701
5436	-22	84	862
5600	62	107	774
5636	-15	-89	889
5616	49	17	742
5404	31	-191	792
5296	-25	14	840
5600	47	-7	845
5536	67	-51	725
5596	-54	193	925
5656	-41	16	717
5420	-7	-55	818
5380	-34	-72	801
5608	-32	-70	765
5436	-40	190	788
5316	-23	24	797
5592	-31	13	743
5604	-6	-95	760
5548	17	-36	810
5592	-15	24	804
5600	54	99	779
5576	36	-20	805
5420	35	220	858
5292	-24	18	744
5592	35	-120	802
5652	-39	-111	828
5492	-4	-219	851
5612	19	197	672
5460	-24	166	893
5304	19	-2	848
5540	-48	-53	720
5264	-23	-67	821
5260	32	18	713
5404	39	-109	878
5472	16	105	794
5644	22	46	767
5576	57	34	807
5580	-79	3	682
5540	-8	-149	829
5608	-10	-71	826
5436	-32	-118	605
5672	28	289	908
5460	-45	104	795
5308	-85	-92	676
5616	-8	-200	839
5604	8	-178	841
5420	-35	103	783
5316	29	121	769
5632	22	-31	838
5596	-50	-165	787
5492	-12	-15	818
5608	57	107	746
5468	50	42	816
5400	75	57	823
5576	0	57	793
5532	36	-102	821
5472	-48	-71	802
5260	-13	-184	812
5316	36	58	721
5584	-19	226	887
5656	27	96	747
5408	-32	-169	739
5316	73	19	837
5576	-49	-65	795
5616	103	-135	932
5528	86	160	799
5640	34	-25	844
5588	-8	161	763
5428	44	-76	754
5420	70	-167	982
5472	53	-88	865
5596	85	7	682
5520	-18	258	1013
5536	67	18	749
5408	-82	-51	709
5436	-51	-179	902
5316	-99	-102	712
5500	62	122	837
5288	-6	123	791
5592	-50	-144	789
5672	28	12	789
5404	2	10	802
5348	56	14	781
5584	58	68	829
5576	78	51	798
5584	-69	-30	788
5608	-70	62	764
5424	53	-419	870
5304	34	96	660
5576	-47	114	878
5660	13	88	807
5576	2	-9	755
5476	-15	-31	891
5616	-127	-129	719
5548	-71	-196	848
5496	31	131	822
5288	17	63	839
5576	59	127	698
5644	-42	-169	822
5488	57	-131	880
5652	129	-151	750
5528	-30	197	831
5484	22	137	854
5292	33	-18	723
5244	17	-9	857
5360	-6	-137	756
5604	-15	-113	801
5496	-7	207	821
5596	4	39	878
5528	52	-29	786
5592	24	-19	763
5592	20	-138	891
5480	8	28	844
5348	52	246	785
5464	-61	69	871
5428	46	-102	747
5472	-14	-408	896
5668	-92	159	691
5480	-4	142	878
5596	-49	154	825
5488	-49	83	730
5248	40	-196	880
5296	121	-67	837
5652	103	-135	742
5528	88	175	898
5636	-9	187	773
5436	-20	3	770
5364	165	-195	915
5528	24	-294	824
5652	186	59	701
5456	35	241	943
5644	93	40	732
5576	32	15	717
5584	46	-12	940
5588	14	-124	649
5472	2	-146	847
5600	38	157	840
5636	109	68	809
5464	-22	53	801
5592	41	-95	839
5600	69	-30	836
5588	72	96	715
5584	-17	34	815
5592	23	5	798
5524	13	-276	739
5480	87	73	764
5228	15	-39	906
5416	79	233	743
5468	42	63	689
5576	92	-174	967
5652	39	-67	762
5592	25	-27	769
5416	0	146	872
5240	22	253	677
5292	-34	-56	858
5264	76	-200	895
5296	92	-272	704
5648	108	176	877
5520	62	156	807
5636	33	-38	693
5420	-38	-58	827
5264	-5	-69	825
5372	-8	-100	662
5432	9	-99	922
5368	68	233	770
5636	17	87	783
5404	-23	-30	854
5260	19	-77	876
5420	2	-6	722
5480	42	120	797
5644	51	22	883
5576	24	-345	793
5472	-12	77	680
5600	-97	154	926
5480	-119	121	679
5356	24	-43	768
5600	50	-42	927
5588	115	-127	826
5536	13	-8	810
5532	21	58	907
5584	-53	230	636
5480	-135	-121	853
5376	-94	-175	842
5496	-10	-173	673
5660	-12	225	888
5480	42	106	866
5644	-48	-94	653
5608	85	-56	926
5424	-47	-84	808
5260	-64	-27	691
5260	15	-108	924
