delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5656	65	-1	835
5532	63	218	845
5644	-17	86	772
5420	-37	-105	769
5316	-7	-35	789
5548	48	159	833
5644	66	101	850
5460	24	-84	794
5424	-34	-60	760
5436	-27	133	778
5308	29	169	801
5640	60	-14	836
5588	56	-108	825
5472	-4	49	778
5552	-32	170	762
5308	-18	36	783
5600	33	-76	821
5588	69	29	851
5580	24	137	792
5468	-11	42	769
5420	-23	-72	770
5436	-1234	-499	-186
5620	1453	-417	-804
5600	788	195	1333
5576	234	208	848
5516	30	-175	903
5652	15	-109	586
5472	-14	12	869
5244	146	209	906
5340	80	101	822
5644	-20	-4	796
5552	-77	-124	757
5500	-3	86	762
5536	78	158	840
5288	58	-4	829
5540	52	-38	849
5416	9	68	739
5524	-68	110	742
5488	-22	14	804
5248	114	-60	854
5296	74	38	862
5576	9	146	806
5592	-63	102	744
5656	-40	-69	760
5440	55	-11	819
5416	82	81	857
5576	48	114	815
5468	-33	6	765
5536	-38	-18	739
5264	-13	64	786
5248	79	101	852
5292	92	11	843
5576	32	-43	802
5596	-31	46	765
5596	-45	112	771
5660	31	59	805
5576	69	-26	848
5416	48	-3	820
5364	-1	89	780
5544	-47	58	765
5596	-12	1	765
5544	49	18	835
5576	71	70	856
5580	24	55	795
5580	-31	-14	752
5616	-33	-9	772
5552	29	79	803
5576	-590	355	353
5540	-36	-323	456
5492	-1029	-1104	-841
5324	-360	377	836
5540	-366	171	611
5360	-58	-136	834
5488	107	-211	694
5536	67	110	885
5288	49	197	836
5288	33	135	797
5644	-40	-240	765
5488	4	-67	724
5536	9	143	833
5416	70	223	816
5464	71	-7	833
5540	20	-111	775
5300	-77	44	766
5592	10	180	800
5644	90	25	807
5576	34	-123	845
5472	38	49	787
5584	-24	231	762
5652	-37	33	770
5600	39	-131	777
5472	61	-39	836
5596	58	176	833
5640	0	134	786
5588	-52	-70	749
5436	15	-39	770
5244	44	121	822
5288	73	116	834
5288	35	-45	810
5596	-24	-76	765
5608	-21	98	756
5600	13	174	794
5464	57	-2	839
5360	53	-93	833
5596	16	11	788
5576	-33	139	769
5488	-8	62	778
5540	37	-53	813
5244	49	8	836
5344	37	113	817
5640	-8	73	782
5540	-17	-54	771
5616	7	-18	798
5536	-1110	542	421
5592	-589	-82	-1159
5564	562	-962	392
5532	391	207	591
5516	-310	289	932
5536	-1	-244	518
5436	-50	109	778
5484	45	-71	952
5588	97	200	771
5644	35	38	846
5576	-84	-144	727
5496	6	-13	776
5536	17	148	819
5644	71	128	829
5460	83	-7	843
5360	-53	-61	774
5616	-29	83	756
5592	29	113	781
5472	36	-26	815
5588	80	-44	867
5592	23	119	803
5640	-47	119	772
5484	-13	7	764
5544	15	-87	817
5588	84	45	844
5584	57	140	833
5636	-32	39	758
5600	-26	-29	747
5436	-21	7	776
5364	84	109	843
5460	82	62	848
5408	22	-44	813
5588	-41	-7	758
5560	-30	97	768
5596	21	105	784
5460	65	-31	833
5596	59	-26	819
5592	-1	69	769
5548	-40	84	770
5592	1	20	776
5532	42	-13	814
5592	70	70	841
5580	20	74	798
5580	-30	4	764
5540	-24	-11	758
5612	-1639	234	-200
5604	1016	-269	-1110
5484	788	341	1003
5400	294	48	1019
5512	-176	57	941
5484	90	-265	626
5300	58	172	896
5636	60	136	822
5468	34	41	808
5400	0	-28	752
5536	-47	-71	769
5616	-43	58	770
5592	48	144	836
5472	117	49	853
5632	-22	-77	826
5612	6	62	753
5528	-77	100	758
5480	47	8	816
5352	83	-26	842
5588	43	20	812
5584	-10	119	787
5480	-42	82	733
5592	-27	-71	770
5616	69	-10	842
5592	91	112	847
5468	25	73	813
5404	-21	8	768
5536	-48	-20	759
5616	13	72	792
5576	89	91	844
5584	55	-9	866
5536	-7	-38	797
5552	-36	71	740
5596	-23	101	783
5484	56	21	825
5580	73	-25	834
5592	29	26	817
5584	-26	91	776
5592	-43	33	754
5604	26	-3	788
5532	84	40	844
5584	56	88	821
5576	7	32	778
5524	-46	-23	749
5616	-176	-375	723
5548	-260	98	-1485
5552	616	148	1328
5568	-221	233	410
5360	-203	-133	809
5552	61	126	705
5636	2	33	817
5532	21	60	848
5576	155	16	873
5464	39	30	867
5404	-52	-38	724
5432	-65	94	720
5248	38	75	812
5408	96	38	850
5576	62	16	873
5576	-27	30	766
5428	-34	42	751
5420	-63	17	758
5420	36	39	809
5412	112	49	876
5456	64	64	832
5576	-33	49	754
5604	-70	-8	758
5552	-2	38	765
5544	71	48	846
5400	87	45	856
5576	13	42	797
5412	-52	31	743
5420	-45	37	763
5420	51	37	825
5408	95	24	859
5576	63	31	835
5576	-15	40	780
5428	-43	38	755
5248	-4	38	773
5364	65	20	845
5580	84	30	853
5576	30	43	804
5576	-33	40	758
5600	-43	25	747
5596	30	51	805
5580	-902	635	-169
5548	-1062	-551	-1541
5508	-116	-57	699
5664	-142	-41	849
5492	-39	137	912
5484	-32	-213	645
5316	89	91	896
5576	124	133	860
5524	47	150	820
5288	-59	-171	809
5312	-39	-2	707
5560	12	109	815
5632	109	203	829
5520	40	-47	867
5592	50	-25	811
5592	-61	49	733
5600	-51	105	776
5480	62	20	794
5584	56	-57	831
5588	79	64	843
5584	-41	136	784
5656	-38	15	750
5420	2	-55	769
5368	67	-16	840
5588	87	123	848
5468	29	97	809
5404	-51	-45	748
5436	-60	-18	742
5260	34	86	809
5408	97	97	834
5576	81	-7	841
5532	-10	-22	792
5616	-48	67	757
5420	-10	102	795
5308	46	12	833
5584	77	-51	843
5588	34	23	797
5580	-27	98	767
5596	-45	39	754
5600	21	-2	803
5536	63	22	837
5576	70	87	829
5584	-657	811	457
5532	1344	-1025	-1463
5544	45	103	1268
5344	-54	497	743
5480	-84	16	960
5248	-583	-187	265
5376	356	-99	1079
5528	-26	298	810
5664	68	188	871
5460	37	-59	824
5592	19	-168	803
5648	-25	105	787
5484	9	226	798
5588	65	27	807
5576	44	-142	845
5656	21	17	803
5572	-30	172	786
5488	1	47	788
5528	30	-102	825
5296	49	0	825
5700	34	185	815
5460	-4	101	786
5596	-22	-101	770
5668	4	-57	783
5536	48	149	831
5468	37	145	823
5288	9	-37	785
5532	-18	-76	769
5264	-26	77	779
5424	35	146	816
5464	47	19	824
5584	40	-70	821
5588	-10	55	764
5596	-15	143	776
5488	16	42	793
5404	49	-80	818
5416	47	2	828
5352	20	139	809
5632	-18	89	770
5600	-3	-42	771
5552	32	-28	806
5588	57	102	829
5468	34	86	802
5576	-7	-26	769
5552	524	-69	430
5648	-721	-1112	-1467
5504	411	241	931
5688	-45	81	1078
5476	202	14	1058
5520	-50	-312	716
5320	63	176	778
5644	91	166	875
5460	73	152	771
5292	-39	-239	801
5668	-29	2	743
5540	3	183	775
5584	16	144	804
5468	101	-65	865
5300	54	-43	832
5588	-44	77	782
5604	-66	113	760
5652	25	-20	784
5424	43	-79	824
5416	90	102	831
5464	14	182	799
5644	-38	28	755
5592	-32	-127	756
5500	50	36	803
5576	70	132	838
5640	55	71	814
5576	-24	-61	764
5436	-54	5	758
5372	28	128	789
5464	64	66	833
5404	60	-51	827
5592	20	-28	780
5420	-35	113	760
5304	-48	116	762
5660	27	-15	791
5592	67	-52	841
5416	52	74	826
5408	-11	106	798
5480	-36	23	760
5600	-8	-32	761
5548	57	48	818
5580	75	110	830
5640	2236	-955	-47
5544	-30	558	30
5604	511	-495	1448
5584	-832	554	246
5540	-84	191	960
5484	-129	-99	563
5316	-92	-120	740
5668	83	133	890
5464	89	302	827
5640	2	-43	818
5536	0	-208	786
5596	-19	54	771
5600	10	231	840
5460	86	107	835
5292	0	-186	844
5600	15	-23	773
5588	14	187	785
5644	-29	95	789
5592	49	-129	834
5480	43	-25	815
5588	23	163	804
5640	6	155	777
5588	-24	-103	779
5488	29	-111	809
5652	57	133	825
5464	33	164	811
5640	3	-3	791
5480	-36	-113	766
5320	18	79	791
5580	45	167	826
5636	58	18	835
5584	19	-105	801
5472	-7	49	772
5544	-22	172	764
5308	22	54	794
5576	45	-87	827
5596	47	-17	839
5588	5	129	797
5592	-16	101	767
5480	-10	-53	795
5612	41	-28	823
5596	830	-208	185
5528	870	1016	869
5572	-617	-1845	-548
5620	228	92	913
5640	-9	382	945
5420	-282	32	747
5300	-22	-222	627
5672	68	41	913
5576	152	224	817
5520	19	152	870
5640	-40	-161	732
5488	0	-98	780
5540	-22	138	799
5656	116	238	842
5520	29	-44	814
5592	-11	-160	776
5496	-5	99	775
5368	-26	156	771
5480	81	16	825
5400	94	-105	839
5480	22	56	787
5572	-44	198	773
5664	-14	41	749
5420	27	-112	799
5300	60	-61	836
5596	58	172	831
5636	7	142	790
5592	-44	-76	757
5436	-11	-53	779
5260	56	128	829
5288	45	125	864
5288	22	-30	802
5596	-32	-70	768
5608	-35	69	759
5600	20	161	775
5460	44	9	843
5348	57	-96	843
5596	17	31	776
5576	-22	149	768
5488	-22	54	761
5592	43	-40	814
5596	55	-4	836
5536	37	119	810
5636	2271	-102	568
5592	-1836	-50	-1789
5616	511	-27	1684
5536	-65	241	276
5480	-244	262	963
5540	85	-381	538
5296	-57	79	913
5596	102	40	765
5640	51	338	864
5460	17	-111	784
5300	-48	-187	757
5668	10	13	826
5576	80	321	774
5472	33	42	868
5572	53	-154	791
5656	-30	-43	791
5604	-17	216	772
5484	32	115	788
5640	31	-150	852
5472	56	-49	790
5600	-6	197	811
5592	-24	143	764
5664	-3	-105	787
5428	40	-111	827
5300	73	152	811
5640	23	194	809
5460	-18	-36	769
5260	-18	-118	764
5320	23	67	807
5580	64	192	811
5636	38	30	832
5580	7	-121	796
5596	-21	22	779
5424	0	176	779
5416	35	64	808
5576	55	-90	830
5424	38	-32	803
5416	-11	133	774
5480	-10	127	772
5660	9	-47	770
5532	38	-51	821
5596	-164	59	211
5480	-141	-497	1259
5600	-1109	-351	-535
5624	-27	272	770
5484	-493	460	506
5356	-190	-24	680
5500	-11	-165	799
5664	115	-90	904
5480	133	264	851
5684	52	24	878
5584	25	-52	780
5416	-52	-127	773
5316	-14	171	780
5664	85	192	809
5460	84	-8	842
5532	-14	-124	791
5328	6	96	766
5520	-41	152	778
5308	0	25	790
5532	59	-107	855
5296	72	41	815
5576	8	173	793
5592	-42	79	756
5596	-16	-116	767
5500	45	3	816
5344	70	137	828
5636	11	119	809
5468	-22	-38	748
5608	-29	-48	770
5616	15	94	799
5576	84	116	835
5464	33	-21	843
5240	5	-45	776
5368	-41	80	760
5596	-10	122	778
5488	35	20	807
5576	60	-71	842
5588	30	45	812
5584	-18	116	794
5656	-21	57	763
5600	11	-33	807
5412	-484	-91	624
5320	-326	1191	-1417
5664	-778	-1463	-237
5444	-257	140	875
5356	-406	91	586
5484	28	164	1046
5344	-77	-253	639
5492	27	86	920
5408	101	36	876
5456	39	207	753
5636	-20	-31	745
5616	-74	-142	734
5492	45	114	812
5640	42	181	834
5464	66	24	841
5228	12	-92	785
5424	-74	-5	751
5552	-57	134	774
5480	22	51	815
5584	95	-45	854
5592	14	2	812
5524	-4	139	766
5248	-43	94	756
5420	2	-78	787
5536	56	-72	828
5596	45	89	827
5576	22	148	789
5468	-52	-28	763
5608	-19	-50	774
5616	33	54	822
5576	63	110	839
5464	48	17	821
5404	-28	-45	772
5436	-25	43	759
5248	8	118	784
5412	56	57	830
5580	68	-40	835
5592	19	1	809
5524	-32	103	771
5484	-10	86	774
5600	19	-26	813
5588	64	8	829
5520	743	1264	-390
5244	-1151	-493	-901
5268	29	54	1382
5284	-113	180	388
5360	-62	-92	1013
5492	55	11	642
5580	59	-48	931
5592	96	91	850
5584	30	94	821
5576	12	14	804
5580	-54	-103	738
5664	-18	60	805
5428	80	183	842
5288	26	9	824
5692	39	-76	792
5424	20	19	756
5404	-54	109	764
5480	3	78	788
5532	79	-31	839
5244	44	12	834
5400	-11	86	794
5596	-46	69	786
5428	-18	-45	776
5260	43	-13	822
5412	69	86	848
5584	37	131	804
5460	-33	16	778
5596	-25	-46	758
5616	25	35	797
5576	33	106	828
5468	62	49	837
5404	-5	-32	786
5548	-38	25	762
5600	-5	94	784
5540	31	60	806
5584	55	-34	831
5588	35	12	811
5584	-15	75	784
5420	-16	76	758
5420	14	-11	800
5424	-118	-23	774
5316	88	820	-1785
5532	104	-150	-1447
5252	-14	16	836
5424	-175	1	912
5424	13	45	941
5404	-64	-176	686
5496	19	122	922
5632	102	67	843
5460	54	122	818
5640	-60	-138	795
5492	-23	11	724
5248	-14	89	804
5424	40	124	804
5464	52	-46	853
5588	28	-44	803
5596	-27	69	757
5596	-56	91	748
5600	60	8	804
5520	55	-46	846
5596	67	61	835
5580	-16	127	774
5480	-51	2	762
5372	3	-36	780
5532	57	33	832
5584	70	107	843
5636	27	65	798
5580	-33	-27	756
5436	-37	-5	747
5380	41	105	797
5460	68	68	834
5412	41	-18	847
5416	-4	-10	781
5372	-33	79	756
5604	-15	94	767
5592	47	6	809
5528	64	-20	842
5588	33	55	793
5576	-23	70	782
5604	-21	26	771
5416	19	-3	785
5364	67	35	829
5580	58	78	840
5576	4	36	799
5532	-41	-23	761
5608	-8	33	763
5544	41	82	819
5576	61	43	847
5584	23	-2	792
5532	-12	1	781
5540	-14	79	764
5252	20	61	804
5404	61	1	828
5520	49	5	814
5524	5	53	780
5524	-26	50	757
5424	-11	9	777
5544	38	8	810
5520	56	45	841
5584	29	60	801
5576	-15	17	778
5592	-13	-1	770
5560	12	33	782
5576	65	63	827
5584	43	37	827
5576	5	6	800
5472	-13	17	772
5424	0	55	786
5524	37	41	834
5580	61	5	799
5524	32	21	788
5580	-5	52	769
5540	-17	40	792
5596	23	6	793
5528	48	26	827
5400	42	49	819
5404	13	44	774
5408	-24	8	772
5536	-12	21	773
5604	38	50	812
5576	47	45	842
5576	24	21	813
5580	-11	14	794
5596	-9	31	769
5544	18	54	786
5576	55	24	836
5584	36	14	823
5576	4	23	786
5524	-23	39	775
5604	331	-241	1139
5580	212	102	-523
5536	274	116	1660
5568	49	44	273
5580	-210	153	983
5532	12	-13	616
5600	47	95	916
5576	124	-101	872
5528	50	132	806
5640	-33	15	814
5596	-49	29	701
5600	-15	-19	812
5432	85	77	835
5404	76	88	846
5408	24	10	805
5404	-49	-30	735
5436	-49	33	779
5424	28	88	798
5576	81	50	857
5404	51	7	816
5352	-9	14	778
5540	-39	62	757
5596	-9	48	766
5548	54	5	845
5520	79	17	844
5408	28	71	814
5576	-35	64	746
5596	-37	0	747
5548	19	-6	786
5532	79	47	846
5584	52	78	838
5572	-7	21	776
5548	-43	-4	763
5552	-1	46	769
5536	56	59	834
5584	69	22	851
5576	21	1	787
5700	-34	37	765
5420	-31	60	753
5420	32	34	812
5412	74	7	838
5344	58	23	831
5576	-4	48	771
5548	-31	36	748
5592	-4	22	767
5548	42	21	831
5576	62	56	839
5584	25	46	798
5576	-28	10	765
5592	-23	11	768
5604	25	50	798
5576	58	66	828
5584	39	18	828
5576	-6	10	771
5544	-29	33	776
5592	-4	59	793
5548	58	27	824
5576	64	16	842
5576	17	38	797
5580	-28	40	777
5596	-21	25	771
5604	29	22	825
5572	59	40	842
5412	40	45	821
5400	-6	26	790
5540	-25	7	768
5544	7	31	787
5528	40	55	817
5400	56	43	823
5408	18	25	787
5404	-24	19	762
5596	-18	42	785
5424	18	41	805
5404	56	34	820
5576	42	31	814
5580	1	35	780
5524	-27	33	770
5604	7	29	774
5524	42	25	830
5580	58	37	817
5576	19	31	804
5576	-17	17	775
5604	-16	19	766
5592	32	32	804
5584	58	43	834
5576	29	30	820
5408	-4	17	765
5364	-21	28	761
5596	1	37	795
5532	36	38	819
5576	43	27	829
5584	12	25	794
5576	-23	31	762
5596	-7	44	767
5548	30	32	814
5576	-1187	538	33
5540	974	283	2832
5568	314	9	1338
5640	226	-568	426
5528	-425	548	874
5540	-532	280	211
5532	-87	-21	799
5260	400	-288	969
5356	287	268	993
5520	1	239	798
5584	-290	-15	627
5672	-146	-274	692
5548	192	14	881
5460	238	248	1006
5400	19	215	791
5464	-174	-76	686
5668	-112	-142	691
5544	96	31	839
5576	158	142	913
5524	64	37	827
5572	-49	-39	741
5616	-81	64	732
5592	4	129	764
5592	71	19	845
5576	98	-94	867
5596	34	0	807
5520	-52	133	752
5480	-54	108	741
5308	22	-18	796
5596	88	-28	846
5592	75	52	827
5580	-4	65	798
5540	-53	-2	745
5560	-20	3	770
5540	53	95	817
5404	78	115	833
5468	38	2	832
5520	-23	-64	767
5260	-50	29	759
5428	9	112	785
5412	63	83	836
5400	67	-2	827
5540	20	-5	812
5536	-37	61	766
5592	-22	51	766
5604	38	8	805
5520	70	17	829
5580	37	81	822
5576	-12	70	785
5600	-39	-3	779
5552	-2	-23	788
5552	54	37	828
5580	801	-875	-752
5544	26	223	2473
5700	8	152	1227
5464	346	-262	800
5536	-500	293	843
5360	-153	212	657
5532	172	42	638
5636	320	-143	1312
5584	194	91	592
5468	-194	1	895
5244	-162	88	525
5304	-25	-13	845
5608	173	-69	880
5652	187	34	916
5456	-1	178	824
5600	-123	85	671
5648	-91	-57	740
5436	67	-75	798
5424	123	77	909
5460	83	139	840
5640	-16	5	771
5540	-82	-39	745
5616	-25	44	758
5592	59	113	824
5464	109	18	841
5636	50	-60	817
5592	-44	21	759
5600	-67	121	747
5484	-1	74	792
5544	82	-25	830
5244	80	-13	843
5412	10	63	816
5576	-49	80	775
5428	-40	11	777
5420	30	0	812
5520	85	73	840
5584	65	81	822
5576	-5	15	782
5548	-61	-42	752
5608	-6	46	772
5544	59	111	829
5636	77	51	833
5404	21	-17	819
5420	-26	2	772
5540	-37	53	762
5600	9	60	798
5528	75	13	845
5576	63	14	826
5580	-4	73	790
5540	-32	52	754
5600	-2411	1246	3051
5528	-239	1030	1882
5652	215	-697	1351
5584	48	-209	-18
5432	-576	132	1240
5420	-88	366	686
5480	109	66	729
5640	261	-46	1143
5528	93	42	700
5576	-192	28	870
5656	-164	55	527
5472	17	-18	860
5596	203	-77	866
5644	115	122	896
5520	-42	209	746
5484	-120	30	687
5300	-20	-155	808
5672	102	-43	813
5472	107	138	895
5512	29	148	777
5296	-50	-26	773
5264	-56	-42	754
5260	7	70	764
5352	75	114	868
5460	85	-10	846
5424	30	-81	816
5416	-34	33	774
5420	-37	164	744
5488	7	96	803
5524	74	-61	855
5244	68	-40	845
5416	7	93	807
5532	-41	101	741
5480	-36	2	772
5364	33	-5	796
5540	81	66	832
5576	50	97	823
5584	-1	-4	771
5496	-35	-55	762
5256	-4	47	773
5368	53	144	821
5468	70	65	853
5404	-298	584	133
5536	1511	1156	1720
5508	-724	521	2230
5592	133	-664	458
5532	-298	-167	428
5376	-611	589	554
5532	-18	253	505
5488	245	-314	1094
5408	241	122	908
5516	-3	112	725
5608	-214	180	705
5532	-66	-176	708
5500	124	-103	866
5352	189	21	950
5636	48	312	802
5468	-94	150	728
5652	-103	-105	687
5552	16	-128	795
5472	113	92	874
5284	105	133	869
5692	6	8	784
5472	-77	-31	723
5612	-60	107	758
5484	37	133	832
5288	120	-22	857
5296	76	-136	825
5652	-13	9	775
5540	-71	175	728
5488	-30	122	764
5304	62	-36	828
5592	102	-48	878
5652	53	75	815
5576	-29	58	762
5420	-58	-16	754
5268	-3	-10	786
5372	69	115	835
5464	81	127	841
5288	23	2	788
5700	-42	-94	776
5436	-40	14	768
5248	22	124	794
5292	70	103	834
5636	54	-6	832
5536	-4	-9	781
5504	-31	70	758
5420	-10	59	771
5424	46	-8	825
5364	77	-4	846
5536	38	78	815
5576	-19	107	770
5660	-47	20	748
5420	5	-41	780
5368	65	23	842
5576	-441	-71	1214
5548	1013	294	2243
5632	346	-871	1875
