delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5296	505	-613	100
5708	1392	1063	-695
5464	-444	1300	-300
5608	279	-277	1171
5588	-218	-2500	3425
5484	-940	-341	-875
5396	248	2101	1545
5452	-715	1314	155
5416	-392	121	249
5536	528	-2628	4067
5468	-254	-173	-1379
5268	597	1834	2200
5280	21	44	275
5584	-587	176	302
5532	257	-3300	4367
5296	-52	975	-1331
5556	-481	2788	865
5416	186	264	668
5512	-1409	-409	148
5608	-527	-2892	4044
5484	-196	251	-2241
5608	-614	2716	2205
5648	-45	72	1270
5484	-759	-360	196
5544	-653	-1494	3055
5668	2239	1587	-1028
5524	-142	1692	106
5588	1027	-633	2132
5648	-1189	-1899	1122
5540	-192	-1970	1562
5492	1421	1466	-951
5636	-172	-167	74
5500	200	-192	1832
5580	33	-829	2437
5532	579	-970	30
5304	47	1647	-1093
5584	798	961	-75
5656	-652	-37	890
5488	-407	-2533	3563
5660	-1214	404	-931
5608	583	1752	1436
5452	526	801	469
5696	-28	910	241
5480	259	-3269	4287
5648	101	368	-1926
5584	368	1026	1628
5456	222	-294	971
5356	-164	-917	107
5544	94	-2416	3842
5592	-218	1706	-1467
5484	128	3224	2117
5280	637	-477	1566
5236	-957	-1452	276
5436	-571	-2189	3334
5488	779	1481	-1235
5640	-311	2259	1012
5476	232	199	1794
5572	-1012	-2482	753
5664	313	-1985	2203
5468	48	1195	-1103
5240	789	2393	-454
5412	346	306	2344
5580	-1358	-2154	1011
5540	-257	-1401	1287
5492	1657	1654	-11
5584	211	2274	-998
5592	-268	-688	1768
5600	51	-1274	2549
5592	48	-707	-205
5488	340	1717	-1046
5292	426	1162	17
5696	-1025	-585	918
5428	4	-2942	3405
5360	-460	42	-837
5496	1029	1687	824
5624	-1535	1116	356
5652	-686	-99	340
5492	-906	-3277	4097
5660	226	483	-1723
5416	14	1712	624
5344	-352	-497	752
5548	-900	-133	232
5552	-506	-3186	3995
5664	-257	878	-1997
5608	-478	3088	2215
5472	174	-917	1504
5592	-734	-1431	397
