delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5548	-782	-2345	2684
5668	100	2419	879
5568	1402	1181	-174
5472	487	-237	846
5528	-203	-261	3732
5256	-976	-185	1068
5256	450	3744	1061
5280	346	-25	778
5304	-1796	-3109	470
5660	-1326	-1601	2989
5544	2165	1982	572
5628	52	1477	-128
5532	363	-721	984
5536	1282	-2654	3725
5524	-653	-356	475
5552	575	3618	15
5340	-1142	-542	-1020
5500	-770	-3035	751
5256	-412	-1820	2037
5320	808	1999	815
5568	191	2798	-236
5584	1896	-1169	1253
5528	-432	-1810	4614
5312	2569	51	691
5516	-824	4327	319
5420	248	-936	709
5528	-126	-1649	394
5608	-885	-1579	2461
5488	-171	2095	5
5648	672	1166	-269
5592	-1093	-606	805
5604	57	-2831	4614
5416	2764	574	-178
5408	1895	3182	1290
5512	-84	-355	987
5496	-52	-858	-14
5276	528	-2311	1600
5292	878	1353	1438
5632	1409	1623	-886
5468	-276	-1712	-261
5268	-1118	-4303	4739
5372	42	92	474
5580	109	3970	517
5572	-70	-499	584
5496	-466	-1503	867
5604	-818	-1745	2123
5664	131	1889	1563
5452	1373	1246	-120
5640	-36	-1734	686
5552	1252	-1870	4875
5524	203	2180	547
5400	2671	2306	142
5456	176	-475	56
5648	-1538	-1374	1374
5548	-348	-827	1023
5604	-1206	2547	-260
5488	568	1719	-915
5588	-83	-1808	266
5548	-1486	-3250	3385
5372	-1703	593	450
5588	528	2673	811
5580	-203	205	1391
5588	830	-1193	2547
5468	-1772	196	314
5596	706	2544	1455
5628	-1434	562	-390
5608	414	-954	85
5472	-2685	-2768	3805
5548	-1327	2076	273
5644	2455	2994	-405
5468	-1595	855	1522
5304	453	741	4022
5568	-779	-2248	18
5548	788	2846	11
5348	560	-383	380
5528	3	-1816	258
5656	-194	-1931	3412
5484	463	58	320
5632	1358	2079	-305
5644	-294	-1514	1351
5488	1036	-2896	3202
5528	1066	83	385
5688	323	2434	1358
5456	-576	26	773
5652	727	-1033	849
5588	125	-1591	2064
5468	464	1728	2563
5276	-480	2207	-16
5548	934	-810	925
5360	892	-3184	3738
5644	1501	1316	514
5460	-566	2097	1081
5644	227	-82	989
5472	-1532	2135	60
5248	-1528	-271	525
5256	-1313	2565	692
5296	1598	2196	42
5572	252	-960	1295
5588	-522	-667	4435
5604	-959	566	448
5540	1495	3051	1088
5684	-736	260	743
5536	-872	-1251	966
5604	-756	-1086	1543
5488	-67	1729	1339
5596	337	882	-980
5528	302	-1719	462
5592	-864	-1959	3514
5660	659	769	-50
5480	-201	2188	996
5588	-731	1058	1277
5652	-76	-3329	2551
5604	52	-669	480
5472	-901	3136	387
5592	-1194	538	-372
5604	-758	-790	124
5556	-195	-1867	3832
5488	2994	1434	517
5280	894	2859	515
5400	878	-1059	1455
5468	-288	-3771	2975
5660	-1103	-1312	395
5492	1442	2598	-878
5640	-1853	658	-333
5608	-317	-645	-617
5560	-255	-3091	3367
5492	707	1126	216
5572	1318	1951	-460
5648	1517	-1677	1662
5520	21	-739	4136
5532	162	414	408
5344	2060	2324	316
5628	234	-54	346
5472	1002	-2376	264
5648	-661	-2219	2695
5484	658	2528	2307
5632	-504	2357	-258
5600	278	-326	1057
5588	160	-2145	4775
5468	328	544	-336
5356	1836	3470	34
5576	-886	-1017	-194
5620	1103	-1284	1006
5528	-1881	-238	1634
5484	-764	2698	2408
5296	322	1716	-1025
5648	-276	102	878
5532	197	-2749	4683
5648	552	1196	70
5512	121	2892	205
5572	37	74	1192
5636	-1692	-4713	1840
5540	462	-18	992
5480	1329	3328	559
5628	-1810	987	-706
5608	-1187	-1076	102
5484	-968	-2718	4202
5660	969	723	387
5520	1714	3382	316
5628	-331	14	1279
5540	181	-2465	2572
5640	-1662	-1179	432
5492	-683	4036	82
5532	1616	439	64
5340	703	-28	-720
5492	-878	-2240	3531
5312	-426	1216	1224
5644	347	3346	238
5576	31	9	1383
5576	-1088	-2402	2936
5548	-758	-466	188
5548	464	2840	-99
5528	188	294	298
5696	846	-754	360
5528	-1343	-1494	2773
5548	1487	911	495
5568	648	2958	-193
5592	1155	-271	870
5584	152	-2818	4709
5476	143	278	583
5340	-310	3274	995
5588	383	249	775
5524	530	-1867	1039
5640	-1246	-1957	1955
5548	880	2097	1229
5624	829	1237	-965
5584	444	-626	614
5536	-965	-1165	4656
5484	258	682	649
5340	1206	3701	1118
5516	503	-258	1055
5588	-1271	-1348	1609
5544	1047	-795	1281
5292	276	2167	710
5572	-832	2004	-783
5612	517	-1834	530
5584	-512	-2507	4569
5492	-1661	2377	53
5416	1965	2840	865
5452	-331	-890	144
5552	-1016	-2430	1131
5368	-914	-692	620
5548	-539	1864	763
5596	-517	1496	-899
5604	-503	10	177
5480	-454	-2087	4443
5660	-28	2988	341
5544	457	2162	1235
5628	2173	-746	1717
5464	-1504	-3431	3241
5548	-1663	-1496	223
5312	2871	3949	-848
5640	87	542	-408
5480	-1061	-1174	160
5660	-1248	-2244	3644
5548	1245	954	330
5568	73	3674	-432
5540	290	-115	1636
5584	-800	-625	3926
5612	-2115	-1748	92
5600	1241	4227	754
5456	-229	236	460
5364	-1588	-1259	695
5484	-377	-2425	2993
5660	2670	2016	523
5460	1563	1093	-177
5292	-488	-869	900
5548	-719	-2425	4345
5320	-188	-619	290
5548	-345	1177	852
5588	-230	223	565
5536	472	-3766	580
5412	-680	-1554	2588
5492	1682	1790	568
5628	124	2966	-150
5584	614	-760	1031
5592	-793	-2080	4584
5484	-415	-502	641
5552	1281	2835	157
5628	891	-931	4
5596	-1177	458	1103
5472	107	-1974	1423
5292	319	3326	2055
5632	1831	1704	-785
5640	59	-805	658
5476	1045	-1343	2854
5524	1360	-212	660
5412	450	2205	211
5576	-415	295	914
5532	199	-1201	1246
5468	-1575	-773	1014
5316	575	1263	1906
5628	831	1682	-813
5592	643	239	611
5516	-499	-3149	4555
5484	-1980	69	1
5428	-1541	2526	875
5472	119	128	1095
5572	-726	-2429	1728
5664	-551	-1075	768
5604	-459	3064	1572
5476	826	672	-648
5528	449	-984	80
5300	-361	-2789	4186
5664	409	-448	1395
5584	-29	3003	914
5544	668	-102	1534
5584	721	-3643	3088
5476	-1307	-2864	316
5660	-760	3606	184
5592	-33	639	-90
5440	-346	289	277
5360	-1569	-2713	3255
5540	1592	1188	404
5632	745	3493	311
5572	1245	-408	677
5592	237	-4027	3253
5468	190	-644	338
5532	661	2878	-190
5412	-608	-684	380
5548	33	-1007	201
5532	-433	-2736	3104
5660	2426	2159	780
5460	-13	2017	-253
5552	489	-701	1348
5584	645	-2561	2693
5648	-1976	-659	376
5600	-158	1976	143
5596	-47	-105	803
5492	-1053	-1001	1138
5544	-1983	199	1522
5648	1567	2275	2262
5512	402	1853	-973
5588	63	-1078	535
5528	-593	-2240	4725
5664	-1481	-84	6
5612	622	3342	2165
5456	-66	-1912	1342
5604	121	-3074	2511
5648	-927	-900	510
5544	-722	2839	1434
5480	224	866	-327
5352	-371	-901	211
5548	-1041	-2037	4294
5548	111	758	358
5688	1280	2244	407
5452	1209	-1043	1518
5528	-559	-3619	3561
5312	-17	-75	294
5616	1101	4121	269
5624	587	496	-258
