delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5408	12	37	826
5572	24	32	848
5580	15	-17	785
5596	13	1	786
5520	-3	62	821
5544	21	103	775
5636	14	41	788
5584	10	-6	789
5536	24	-21	777
5596	25	-81	804
5588	26	124	834
5464	19	87	777
5580	33	39	799
5580	23	-23	794
5596	7	6	816
5640	26	-45	803
5596	25	41	804
5576	26	143	823
5468	9	22	767
5524	12	7	820
5348	22	5	807
5524	-1	32	763
5536	0	-12	801
5364	18	130	791
5460	28	-34	798
5424	16	35	802
5576	-4	57	781
5544	33	-7	800
5536	26	-4	820
5532	17	63	817
5584	22	40	773
5576	3	35	780
5532	10	37	785
5400	4	22	781
5524	5	60	808
5532	14	-5	781
5532	7	9	826
5296	12	33	809
5580	16	37	807
5576	-10	8	756
5544	20	70	823
5580	14	35	759
5580	10	14	828
5576	12	-29	815
5596	28	50	763
5576	16	31	817
5576	11	50	796
5584	25	71	778
5576	17	-50	810
5600	23	12	792
5576	17	102	831
5468	33	5	774
5348	32	31	807
5572	29	-17	824
5596	22	12	752
5576	15	64	813
5584	29	-53	796
5588	21	89	731
5576	3	102	852
5592	24	48	783
5576	16	8	784
5528	16	-34	846
5588	11	-4	786
5544	5	61	790
5524	3	112	820
5592	6	72	745
5524	10	-4	833
5360	25	-89	780
5596	7	20	779
5524	17	57	853
5576	6	103	785
5592	12	50	810
5576	-7	-56	827
5556	-13	48	758
5592	1	40	834
5532	4	68	804
5524	6	33	779
5352	7	93	797
5532	1	-56	819
5532	8	30	782
5352	-2	82	807
5548	-15	40	797
5592	1	-10	757
5544	32	47	826
5576	25	69	801
5576	14	30	790
5580	40	41	804
5576	40	-44	808
5596	29	50	796
5576	34	7	823
5528	20	75	770
5576	41	54	794
5584	38	-40	777
5588	29	-19	858
5596	30	59	851
5580	26	53	754
5576	16	19	802
5580	35	-22	812
5592	12	37	816
5580	-5	4	813
5480	-3	49	769
5544	10	58	782
5400	-19	21	855
5596	25	55	769
5408	-18	15	826
5420	-19	23	792
5424	-42	57	744
5248	-16	53	828
5424	2	134	808
5584	-22	-20	785
5436	-5	14	767
5548	10	-47	812
5416	9	42	812
5524	10	32	799
5580	5	89	792
5524	12	22	775
5584	35	-22	779
5588	23	-10	798
5596	42	-6	853
5536	46	49	794
5584	25	88	782
5576	28	69	793
5576	52	60	794
5580	28	-160	824
5648	30	26	779
5580	34	9	794
5524	10	42	781
5580	36	81	799
5576	25	30	836
5584	25	23	780
5576	27	-79	772
5592	7	-48	792
5540	20	85	842
5576	2	85	764
5532	41	82	795
5576	6	-92	835
5540	26	28	779
5576	-15	22	823
5596	-22	32	794
5600	21	150	774
5636	-15	-4	841
5560	1	-67	814
5532	-13	33	757
5604	-4	148	796
5592	40	23	787
5584	4	-42	800
5536	-5	-29	811
5552	32	153	736
5636	12	84	813
5404	34	-23	843
5424	3	8	783
5468	26	14	797
5576	21	43	797
5584	35	58	827
5576	21	-17	798
5596	19	125	765
5636	12	94	862
5584	16	45	757
5572	30	-17	803
5416	23	-46	848
5424	16	-45	733
5416	46	56	842
5404	31	114	839
5468	39	43	826
5576	19	-55	808
5596	-12	-54	779
5608	16	60	771
5576	-4	130	772
5612	-16	59	816
5592	9	1	741
5480	-5	8	820
5652	-3	44	761
5548	21	-64	814
5588	9	108	819
5592	8	26	761
5524	1	-29	779
5536	63	29	864
5580	-10	10	776
5596	44	3	839
5528	-12	96	790
5592	-4	10	809
5548	5	12	797
5696	-8	170	782
5420	9	21	754
5360	-4	-20	823
5548	14	-90	780
5596	22	90	821
5576	14	146	877
5644	49	-11	730
5416	23	-51	827
5416	41	41	848
5404	34	71	813
5408	39	120	803
5460	13	20	775
5404	12	7	745
5528	33	56	894
5576	18	2	827
5524	32	55	747
5576	0	63	816
5528	43	-63	790
5596	74	11	842
5576	34	103	812
5640	31	61	760
5576	17	-59	824
5600	28	13	807
5572	16	10	814
5584	8	53	788
5524	-2	66	763
5540	40	75	799
5584	-37	-120	813
5488	57	51	793
5404	-61	2	771
5544	29	15	758
5576	10	112	890
5472	17	-34	781
5416	21	48	768
5576	-1	61	828
5548	2	-16	777
5532	-1	16	742
5548	8	72	852
5524	32	139	798
5288	8	-102	829
5600	42	98	744
5572	4	145	840
5592	55	14	805
5576	28	-6	771
5536	29	76	809
5580	43	-29	793
5592	6	-154	794
5600	28	177	768
5636	17	207	865
5468	10	114	758
5636	16	-69	793
5596	20	-130	817
5472	19	-59	778
5592	13	159	821
5644	12	115	829
5460	-19	36	777
5248	-5	-49	787
5380	13	-1	831
5536	-5	-12	823
5548	0	35	827
5532	2	73	786
5352	-27	-12	767
5616	-26	-1	838
5552	-55	81	819
5592	-20	54	718
5604	15	0	843
5520	39	-46	745
5596	15	60	846
5576	22	6	817
5524	-35	141	730
5656	25	16	770
5584	1	105	829
5408	21	-71	822
5416	55	34	807
5584	-5	0	809
5476	57	13	773
5580	23	96	801
5580	-15	65	806
5592	19	21	834
5584	-1	41	794
5540	25	48	780
5580	14	2	787
5520	3	38	813
5352	-16	44	763
5600	44	107	787
5460	23	103	834
5288	0	-6	725
5660	24	-87	833
5588	-25	19	798
5428	25	55	814
5404	7	84	762
5520	8	36	798
5532	5	-23	820
5536	65	37	819
5400	-6	-75	814
5556	57	20	790
5576	-9	15	815
5544	9	55	826
5528	-29	68	802
5592	-1	4	778
5664	5	27	789
5524	-19	-36	802
5616	5	-45	855
5532	40	142	715
5472	14	141	850
5288	0	53	825
5696	29	-73	719
5424	-28	-114	856
5316	33	-67	784
5592	-3	103	703
5600	4	225	835
5584	26	111	786
5468	36	-36	748
5420	25	-64	890
5416	33	-77	786
5416	40	54	784
5584	16	133	845
5460	-15	71	733
5604	40	136	752
5636	-46	-16	826
5432	17	-75	739
5424	1	-17	798
5536	-7	-31	811
5556	34	137	783
5464	11	99	800
5400	-23	53	740
5600	33	-31	805
5416	15	-30	808
