delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5632	-669	-326	734
5552	282	-504	1111
5584	164	-1097	467
5588	380	-400	1074
5588	-160	269	842
5532	324	789	990
5520	386	546	480
5688	-228	905	957
5540	330	728	758
5516	333	-453	629
5528	147	-643	1047
5416	331	-235	898
5528	80	-974	566
5472	-303	-399	1097
5264	-376	414	569
5360	231	638	1161
5572	186	704	514
5520	-166	572	884
5532	-170	650	619
5360	-368	-410	578
5552	271	-673	1213
5584	244	-602	588
5536	282	-567	813
5528	-334	577	1030
5416	-442	743	516
5540	83	599	862
5460	320	722	680
5340	-257	131	884
5540	352	73	711
5632	425	-320	636
5536	-13	-440	1254
5548	-138	-1004	374
5600	-212	-711	1043
5612	-12	407	1014
5536	-36	802	895
5660	-47	589	412
5480	-23	701	757
5660	151	-91	921
5472	16	-512	663
5652	2	-830	912
5596	-83	-364	927
5492	-427	-412	588
5552	286	-318	987
5704	323	841	673
5520	80	125	1088
5520	-208	1101	590
5592	-231	525	847
5532	-11	382	610
5664	297	-871	784
5528	400	-1308	1329
5644	169	-670	557
5528	107	-449	892
5528	-356	276	993
5540	66	688	623
5288	-99	2	634
5540	124	1063	815
5404	-123	329	902
5532	-14	-93	595
5608	420	-499	768
5536	233	-547	1217
5584	10	-625	473
5480	190	-844	1079
5412	-306	601	944
5532	-213	1057	668
5596	537	440	456
5516	-94	982	765
5488	226	727	842
5340	30	-341	648
5644	121	-368	947
5536	188	-718	1064
5584	369	-920	601
5536	-122	-71	1085
5544	-55	649	703
5664	-141	795	1043
5584	423	659	657
5516	-46	360	828
5488	-336	188	641
5356	-65	-61	599
5612	251	-775	1004
5588	434	-839	700
5528	-401	-1106	683
5608	-1	-127	1014
5488	251	1019	720
5576	-112	475	692
5532	-16	1248	823
5364	-61	503	973
5488	337	-42	624
5296	719	-488	761
5528	79	-689	1033
5356	-200	-766	398
5552	111	-504	839
5532	-157	333	914
5712	-141	917	694
5532	-90	73	448
5600	-169	1156	850
5588	-121	341	925
5532	176	-132	563
5536	31	-796	1026
5528	161	-1089	1145
5644	-239	-1047	514
5604	528	-938	1139
5592	262	587	746
5512	81	419	1076
5528	200	852	636
5688	72	517	943
5464	-35	152	625
5660	99	-223	700
5472	159	-539	1027
5592	388	-731	725
5528	-137	-604	784
5376	-227	-217	1085
5608	231	903	672
5516	31	83	643
5580	15	898	915
5464	-38	404	885
5304	200	-87	576
5652	-12	-579	782
5492	156	-779	1107
5592	-93	-865	566
5668	49	26	924
5580	-137	423	891
5532	-289	1072	818
5588	283	329	424
5520	-477	938	757
5532	160	413	742
5344	4	-338	610
5600	-98	-943	989
5492	181	-149	882
5532	-87	-428	565
5316	-259	-129	1019
5604	-55	438	753
5488	-349	545	1042
5412	86	876	565
5464	-225	799	887
5540	181	530	726
5340	24	-481	679
5648	592	-931	1059
5588	-242	-758	718
5548	-110	-769	749
5556	132	5	1028
5456	100	831	595
5340	-403	402	666
5540	83	838	773
5636	301	616	938
5520	-88	533	563
5656	72	-721	857
5472	-320	-692	1209
5608	-27	-1235	489
5548	-59	-810	999
5668	152	81	851
5460	-216	1250	867
5240	-553	410	394
5368	-128	937	841
5532	-393	346	813
5532	371	-282	585
5360	536	-779	953
5532	-237	-822	1163
5604	-95	-1158	445
5552	-231	-696	976
5548	-168	597	751
5540	126	1139	1070
5280	336	575	520
5684	154	799	913
5524	265	334	602
5512	-69	-428	667
5320	35	-807	1115
5532	-115	-694	849
5548	321	-594	719
5356	-566	-204	1059
