delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5424	7	52	782
5532	-1	55	797
5536	18	52	815
5576	34	25	797
5584	42	13	821
5576	41	10	825
5584	31	6	798
5520	29	13	793
5580	25	3	765
5696	19	13	785
5580	10	29	800
5576	2	34	789
5524	2	52	798
5532	11	54	792
5576	16	38	789
5584	15	31	807
5576	6	33	790
5532	11	37	784
5400	3	20	790
5524	-2	11	811
5544	-12	3	803
5540	-13	10	809
5600	-1	14	792
5540	9	21	796
5352	4	21	803
5528	9	24	808
5524	1030	507	743
5396	172	1350	3087
5460	825	539	2261
5400	182	-141	293
5528	319	101	1244
5576	334	-165	582
5528	287	-94	697
5652	137	97	1047
5516	-262	-217	307
5544	-274	-55	1595
5556	-260	-31	650
5316	32	-194	455
5652	-265	235	1461
5588	-157	25	285
5480	-119	15	806
5656	-32	145	934
5480	68	57	681
5580	104	57	873
5636	162	-47	764
5476	202	10	877
5284	191	66	908
5288	140	10	789
5628	88	-19	829
5596	34	-46	776
5592	-16	10	782
5600	-92	38	791
5420	-121	26	757
5304	-129	39	791
5660	-108	54	789
5472	-84	58	785
5248	-40	45	783
5428	-1	35	787
5540	37	42	820
5576	70	52	817
5584	93	22	777
5576	104	-13	814
5476	92	-27	836
5592	71	-10	787
5596	44	17	816
5576	26	10	798
5576	14	12	781
5584	2	25	805
5524	-3	31	778
5548	-5	37	771
5364	-1	41	818
5540	-3	51	802
5548	5	38	797
5696	15	26	799
5584	26	20	793
5576	39	15	795
5408	47	23	781
5404	37	13	796
5576	30	15	827
5580	25	17	796
5580	27	19	806
5580	22	23	793
5576	16	35	798
5584	17	40	782
5576	6	43	792
5528	-4	32	798
5544	-3	26	799
5540	-11	28	813
5600	-5	28	806
5536	-7	27	795
5540	2	12	800
5356	-4	2	810
5652	10	7	800
5524	12	14	794
5576	15	21	796
5584	25	30	785
5576	37	23	794
5580	35	19	787
5580	-156	73	999
5476	-1122	-1784	495
5668	2184	313	2841
5452	830	-565	-765
5368	847	-8	1783
5480	393	-286	738
5352	384	65	777
5636	-385	99	1851
5536	-1058	595	87
5532	192	267	1847
5576	-77	-58	-291
5624	-342	-198	1202
5608	-105	-8	886
5436	-8	-43	309
