delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5356	-40	-96	930
5616	-19	378	741
5480	-244	479	752
5540	-140	396	953
5532	158	1074	519
5400	533	374	916
5520	-41	-86	978
5608	169	48	621
5460	557	-891	1167
5588	-195	-918	726
5548	-162	-598	669
5380	-632	-305	858
5548	125	-144	794
5528	42	475	738
5640	-199	602	898
5536	42	714	777
5468	106	593	608
5340	190	737	1019
5572	190	-73	662
5652	133	-536	717
5528	-63	-880	1118
5556	182	-868	566
5528	-147	-645	792
5548	-173	67	825
5652	-318	374	679
5536	-41	442	728
5484	128	581	1121
5396	250	744	628
5516	-124	395	803
5540	-107	199	996
5532	-72	-128	581
5320	170	-970	1060
5588	52	-651	697
5472	-185	-782	757
5376	-282	-403	856
5552	149	251	861
5516	-150	299	772
5536	128	624	819
5344	-177	815	781
5532	249	973	606
5520	271	3	975
5400	-12	-156	787
5492	360	88	651
5636	-303	-1083	1220
5484	-22	-1023	447
5552	346	-509	883
5356	201	-278	936
5528	-48	-85	784
5612	-153	811	797
5532	205	446	932
5520	-34	658	555
5308	300	745	764
5516	437	534	1070
5400	444	-316	571
5532	11	-675	888
5476	-312	-449	1021
5256	-92	-1009	660
5372	-10	-482	889
5496	-327	-67	891
5664	-103	228	704
5540	48	689	846
5460	-96	766	939
5308	141	787	407
5520	114	530	922
5344	-439	357	982
5532	315	-318	477
5536	62	-1035	1140
5412	197	-493	678
5528	38	-705	698
5476	-201	-379	934
5548	-121	113	825
5360	5	355	740
5592	-91	470	902
5480	298	1009	730
5576	139	501	606
5688	54	230	937
5472	-114	325	657
5532	162	-495	801
5352	-273	-735	1039
5608	275	-641	560
5528	-315	-763	820
5548	-352	-2	929
5616	69	359	690
5464	-147	306	929
5364	-21	513	889
5480	-163	1230	503
5588	280	777	893
5524	-106	-182	994
5372	423	-279	593
5528	8	-650	1000
5656	-48	-921	812
5488	-122	-744	701
5556	-200	-118	896
5544	131	207	828
5696	148	145	780
5512	-80	698	860
5484	143	724	833
5344	-66	428	585
5480	-342	756	984
5360	-103	421	712
5540	146	-929	624
5528	197	-998	1132
5584	-208	-568	760
5556	-212	-537	737
5372	-185	-424	993
5552	-53	357	645
5480	-258	541	729
5532	72	313	1025
5352	553	1180	577
5572	-324	298	730
5532	217	145	1043
5576	464	239	621
5516	50	-1109	918
5356	-247	-1062	852
5608	93	-518	674
5472	50	-221	872
5652	-152	-36	860
5492	-415	537	666
5540	14	500	903
5288	-145	534	865
5708	260	929	616
5520	329	654	1063
5568	77	-440	807
5472	254	106	570
5348	-72	-864	1249
5548	-33	-828	575
5496	-63	-403	699
5320	-148	-106	1002
5600	-378	266	614
5540	-95	415	651
5656	-5	654	954
5420	133	574	619
5348	672	419	803
5516	191	334	1106
5396	195	-210	625
5536	-276	-811	716
5544	88	-587	1085
5528	-81	-946	675
5672	60	-520	851
5472	-111	112	899
5540	-130	449	680
5360	-49	381	850
5480	-57	549	918
5660	-447	978	513
5532	290	380	871
5520	124	242	913
5688	-83	136	591
5484	-244	-1050	1027
5660	101	-704	672
5532	30	-691	754
5476	3	-248	1009
5300	60	68	794
5584	-351	439	733
5532	108	679	815
5688	258	547	730
5520	245	869	643
5512	-192	477	994
5540	-66	24	655
5420	31	-232	765
5472	444	-1029	1249
5648	-296	-765	526
5544	-395	-450	794
5556	-126	-163	954
5548	-268	308	606
5532	212	506	826
5520	35	495	994
5288	254	706	457
5340	96	865	896
5468	126	341	1030
5396	438	-479	623
5528	-21	-618	944
5496	-34	-611	935
5320	-208	-981	739
5548	-195	-264	898
5552	-243	115	835
5532	189	273	683
5340	-78	506	830
5660	-185	598	917
5536	99	574	507
5468	239	134	978
5688	118	361	745
5512	390	-223	655
5536	-36	-1047	1006
5604	41	-637	598
5652	-82	-561	796
5492	-302	-383	951
5552	319	325	816
5516	-350	680	739
5360	329	477	957
5520	-160	895	567
5532	-258	830	871
5360	394	556	842
5516	-44	-263	650
5492	-42	-359	959
5320	76	-797	909
5652	-60	-924	637
5492	93	-245	897
5652	-553	30	750
5476	69	321	810
5640	85	336	866
5464	-11	567	832
5308	144	742	535
5512	281	607	960
5348	-262	347	782
5536	331	-327	579
5528	-60	-763	1066
5380	-203	-768	675
5544	68	-765	737
5476	296	-236	933
5360	-288	1	730
5592	-13	569	658
5488	-324	629	866
5536	380	739	801
5340	139	431	621
5520	-198	562	1014
5588	-39	10	798
5596	17	-565	656
5652	22	-584	1056
5528	250	-586	686
5536	-780	-741	719
5548	-189	42	890
5656	8	246	757
5580	-175	367	776
5540	-17	457	969
5480	440	1254	495
5572	-76	521	814
5660	265	-110	984
5528	382	95	615
5640	67	-689	1096
5528	296	-984	722
5536	-229	-984	720
5544	-225	17	862
5656	-66	76	749
5596	-283	369	780
5536	93	704	845
5468	-258	557	655
5356	128	515	665
5516	146	802	978
5520	527	47	649
5284	28	-530	664
5644	-87	-947	1132
5556	-72	-779	581
5488	-69	-644	895
5320	-88	-64	823
5612	53	215	698
5460	-257	361	813
5360	221	431	968
5520	-22	1035	521
5536	203	546	706
5340	310	450	1093
5576	-211	19	474
5480	-39	-650	800
5316	79	-593	873
5652	-229	-663	550
5548	306	-391	896
5536	-114	3	800
5592	-32	328	702
5488	-74	635	743
5308	77	614	1050
5520	358	931	544
5344	424	554	928
5520	184	137	954
5516	105	-198	641
5352	46	-1052	1146
5592	75	-554	588
5476	226	-811	853
5352	-357	-268	848
5552	34	359	800
5640	76	343	805
5468	11	534	764
5636	223	852	841
5520	445	762	665
5516	176	208	1008
5396	247	-180	749
5532	42	-176	679
5472	-55	-944	1163
5376	-182	-995	553
5552	11	-293	823
5472	-34	-113	922
5316	-145	289	773
5540	130	724	680
5688	-467	296	958
5540	383	934	560
5516	-71	670	779
5660	311	245	1037
5572	-151	-245	495
5548	-89	-683	938
5496	434	-569	902
5528	-143	-943	672
5376	-263	-373	880
5552	-497	40	834
5476	-39	365	709
5308	7	520	899
5592	-254	742	943
5532	-50	762	356
5660	229	498	1005
5572	-11	158	881
5484	440	-88	574
5648	-121	-962	1170
5428	149	-802	618
5364	25	-479	738
5644	4	-421	1000
5476	139	30	793
5640	-154	587	703
5532	62	663	862
5468	-479	520	618
5360	281	533	740
5512	395	228	1014
5580	72	28	720
5576	217	-601	926
5536	-120	-602	1035
5256	-213	-900	632
5372	-278	-436	832
5548	-110	156	915
5540	-232	421	669
5532	-14	568	853
5660	-116	613	906
5536	383	962	522
5520	-20	715	864
5656	-51	-116	971
5488	454	-34	649
5652	-87	-644	1123
5548	117	-816	723
5536	-323	-838	694
5544	-66	91	910
5600	78	68	721
5576	-37	438	798
5664	-100	793	833
5532	-65	708	755
5480	349	390	602
5696	156	678	1022
5572	-148	20	639
5480	207	-635	652
5528	70	-714	995
5652	139	-517	670
5528	-196	-648	786
5548	-145	-306	955
5552	-221	554	648
5536	-152	672	811
5364	-82	292	952
5480	374	1050	584
5396	-458	321	729
5540	255	198	1032
5572	150	-176	599
5528	-12	-779	941
5496	-15	-594	790
5316	-162	-774	740
5548	82	-134	856
5652	16	55	860
5576	-375	241	754
5540	28	808	780
5636	21	506	844
5472	83	761	555
5636	387	298	1115
5576	-341	-70	801
5492	277	-245	696
5528	32	-827	1247
5360	-181	-854	565
5548	-222	-667	748
5544	87	-77	1015
5652	155	77	724
5460	-149	695	739
5540	-109	576	895
5360	57	637	642
5636	-75	679	675
5488	96	597	1039
5516	432	-165	667
5708	-93	-926	864
5492	287	-590	1102
5592	71	-1182	748
5528	-363	-589	908
5548	-292	112	826
5540	10	252	756
5288	173	501	876
5688	131	762	977
5520	-89	1036	448
5536	495	350	875
5520	-47	-140	908
5320	-15	-39	557
5608	352	-974	1032
5592	-68	-619	664
5488	-316	-380	692
5556	117	-668	969
5528	-72	78	877
5420	14	620	664
5468	-52	561	910
5656	-41	792	766
5484	124	711	669
5520	135	223	931
5340	42	-3	682
5536	-173	-189	661
5552	-80	-735	1071
5548	141	-1062	524
5416	-205	-218	746
5548	-267	-165	901
5544	-8	13	786
5552	236	389	850
5512	-171	560	928
5540	335	762	556
5340	288	715	791
5516	-365	313	959
5540	319	44	606
5284	-10	-671	871
5664	-3	-714	974
5612	-219	-673	571
5548	-8	-339	851
5436	-6	128	765
5424	-141	368	587
5532	-165	437	888
5536	11	643	947
5636	-22	824	476
5488	333	860	1005
5572	417	-47	1067
5528	-41	-572	624
5668	-8	-533	1094
5488	169	-811	799
5536	-19	-921	735
5316	-105	-143	925
5548	-144	276	842
5540	-23	396	701
5308	267	518	840
5512	56	776	844
5292	-380	299	553
5536	-112	732	920
5356	386	276	839
5516	199	-399	682
5536	359	-991	1106
5412	-324	-829	738
5552	-242	-507	718
5548	253	286	909
5512	-99	377	737
5664	-310	342	728
5532	-156	647	902
5536	27	1048	611
5520	-95	375	714
5660	636	78	1042
5516	356	237	624
5516	-110	-703	889
5380	8	-968	897
5596	111	-486	662
5532	180	-386	930
5532	-142	-38	887
5488	-15	574	762
5308	-249	400	817
5540	-177	323	914
5356	149	1020	463
5580	324	611	964
5512	2	-223	837
5596	-322	-284	552
5552	11	-452	1120
5528	301	-837	664
5536	-481	-804	686
5368	-314	277	881
5532	54	14	720
5584	-339	312	748
5532	202	742	857
5696	-365	533	717
5532	236	360	734
5524	-62	576	982
5652	303	182	647
5516	331	-561	747
5536	159	-927	1045
5584	-64	-912	568
5496	58	-415	834
5300	-257	123	860
5532	-161	202	675
5360	6	318	815
5588	138	628	932
5516	201	926	543
5520	96	469	809
5288	161	594	1032
5572	147	-330	723
5532	-55	-618	948
5316	47	-564	779
5648	0	-757	653
5428	0	-388	830
5420	-267	57	758
5476	-6	140	695
5604	-180	606	758
5532	210	655	1046
5576	145	648	536
5512	256	209	923
5344	-9	67	895
5544	393	24	647
5632	-284	-1005	1072
5492	-92	-617	552
5664	-93	-494	820
5492	86	-394	893
5652	-232	101	805
5532	62	397	778
5472	6	529	839
5408	-223	725	687
5536	502	735	708
5520	282	411	999
5512	277	-284	782
5356	205	-225	712
5532	190	-1092	1169
5644	344	-906	627
5532	-272	-448	849
5548	-4	-287	844
5612	-467	266	704
5532	-81	653	797
5660	-235	680	867
5536	162	623	510
5512	363	690	830
5524	-212	188	1025
5240	206	-261	538
5356	297	-548	1023
5588	158	-652	946
5528	-87	-1174	715
5548	-73	-490	903
5672	-49	208	811
5480	292	119	712
5520	-180	532	855
5360	136	1001	899
5568	222	571	458
5520	-397	540	949
5536	160	161	1000
5396	-170	-230	411
5552	-185	-991	1171
5432	348	-174	677
5352	-180	-755	593
5556	-68	-175	1019
5544	-175	170	782
5540	-75	437	706
5308	230	466	902
5512	-4	673	798
5248	124	223	563
5340	287	607	1014
5576	-165	159	786
5532	111	-173	553
5536	271	-955	1170
5408	58	-943	555
5476	-62	-487	749
5668	-126	-151	955
5548	-226	107	725
5540	202	456	788
5516	46	671	851
5640	178	633	672
5516	42	406	742
5644	-255	398	885
5532	173	143	675
5512	153	-636	871
5536	-169	-658	852
5376	106	-871	704
5528	34	-311	874
5652	211	-222	751
5528	-78	351	798
5488	-128	651	785
5532	-196	667	923
5360	462	874	554
5524	-87	754	949
5652	-54	81	963
5600	99	-99	623
5420	77	-899	1158
5352	-110	-945	649
5556	-117	-552	710
5544	125	-226	927
5532	-37	-25	686
5264	-120	508	758
5360	130	528	888
5512	-104	635	807
5540	448	699	606
5688	-209	751	955
5540	433	-295	802
5528	-87	-418	634
5492	101	-974	1275
5416	-50	-1003	656
5548	-63	-554	649
5492	-54	-57	1018
5672	-241	113	635
5532	104	324	853
5520	145	607	943
5512	52	440	637
5292	178	267	831
5692	301	660	1045
5572	149	-421	632
5532	-133	-935	826
5548	174	-390	1083
5592	-219	-1072	661
5600	-99	-406	864
5492	-80	203	898
5660	210	561	700
5512	-9	420	869
5608	-123	609	905
5532	118	1107	476
5576	329	138	940
5516	-199	271	855
5532	-223	212	547
5368	529	-723	1056
5580	-141	-612	681
5556	2	-560	745
5596	207	-259	962
5528	-343	38	828
5480	-150	671	683
5360	-443	542	779
5532	139	534	855
5520	-196	874	522
5360	-131	553	927
5536	15	-378	863
5652	-193	-224	648
5544	42	-998	1169
5536	-13	-800	500
5492	23	-560	740
5300	-260	-415	869
5552	105	57	840
5628	-330	421	752
5540	104	616	858
5516	501	735	678
5340	-163	574	702
5540	-242	355	1001
5588	322	-31	664
5652	-561	-619	778
5548	115	-801	1058
5584	-197	-868	546
5552	-24	-218	841
5492	-84	24	785
5600	-263	372	587
5532	244	518	858
5520	-149	511	951
5360	254	687	455
5512	-97	549	971
5660	311	63	969
5460	-43	-501	574
5316	-275	-545	1006
5608	273	-680	864
5528	-47	-994	679
5492	-395	-257	944
5380	-14	212	798
5480	-112	289	630
5536	15	562	904
5296	-206	695	840
5704	137	411	540
5520	-494	753	955
5532	-207	431	698
5532	408	-364	694
5536	-22	-938	1074
5372	187	-518	683
5528	205	-744	750
5536	153	-194	1020
5584	-343	279	750
5540	-127	353	735
5360	-260	538	836
5532	340	685	746
5520	-250	461	662
5532	587	339	1041
5396	24	364	603
5472	336	-772	771
5700	43	-1160	1023
5420	56	-544	690
5300	-535	-542	881
5544	-76	-131	916
5320	123	611	699
5520	-58	357	790
5656	172	318	972
5520	215	855	563
5512	-19	557	821
5308	591	23	996
5640	267	81	649
5456	-32	-883	967
5316	191	-961	891
5536	-333	-783	621
5548	-341	-432	906
5372	127	149	844
5520	14	457	698
5636	122	493	833
5520	-265	293	947
5536	29	804	430
5640	509	1041	974
5572	92	87	784
5576	233	-358	629
5536	-430	-784	1074
5604	77	-583	624
5476	-53	-736	731
5664	-52	-171	960
5500	-222	283	693
5532	29	279	835
5288	-120	592	857
5540	195	694	732
5340	236	431	673
5512	-20	744	1003
5544	-422	-38	580
5320	-5	-287	634
5600	170	-751	1146
5592	-64	-656	541
5492	186	-656	858
5528	-478	-126	887
5380	-73	243	704
5480	2	452	875
5584	-360	763	819
5540	91	755	605
5288	221	201	799
5696	18	528	997
5460	231	-80	623
5648	622	-567	841
5532	113	-755	975
5532	40	-1135	589
5532	166	-631	856
5356	-99	186	848
5484	29	301	682
5640	-133	536	811
5532	64	556	1089
5528	-10	695	463
5304	95	443	864
