delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5512	493	2940	-1241
5648	184	-221	1336
5408	1703	-153	175
5416	132	-1761	2737
5468	-87	89	1260
5652	-538	3173	-621
5436	-38	200	-1038
5376	664	-769	0
5592	-569	-3125	4115
5492	-55	46	1197
5652	234	1897	-722
5588	659	1551	584
5572	-4	94	769
5548	-1162	-3672	3805
5540	287	713	415
5516	-147	2171	-3165
5668	814	2343	373
5568	-44	26	1186
5484	-501	-2477	2666
5660	-664	349	675
5536	-691	1819	-2444
5488	63	2276	-1433
5588	641	228	1359
5576	546	-2185	1607
5640	206	-1031	1396
5472	1255	1231	739
5628	-336	2677	-2314
5492	-414	136	1460
5240	-451	-580	713
5372	-497	-1800	2486
5488	79	484	374
5640	1323	2524	-684
5640	-1045	162	-579
5436	-282	-645	-12
5676	437	-2877	3871
5476	366	-90	906
5644	-105	2529	-2136
5484	324	780	-331
5536	-821	-133	365
5372	-200	-3271	4005
5484	270	640	403
5696	-283	2127	-3185
5484	786	1854	-547
5592	-339	411	1084
5592	705	-2245	2671
5472	-606	449	613
5360	-173	1556	-325
5604	1145	2495	-941
5472	-1088	336	1427
5644	1028	-2338	1077
5528	-1169	-1338	1604
5540	679	1109	559
5572	954	3253	-2186
5648	74	-49	1269
5472	463	-784	78
5652	-218	-2387	2826
5488	688	-75	2293
5708	657	2827	-791
5408	-405	644	374
5360	269	-738	-136
5548	153	-2946	4143
5640	313	-228	1135
5412	436	2243	-853
5416	-808	1130	-121
5432	294	691	660
5340	-317	-2269	3341
5492	-395	-976	582
5372	719	1266	601
5572	-82	2210	-1632
5440	-368	-215	1527
5428	-212	-2622	1228
5484	461	-1733	1767
5648	379	1194	-103
5408	637	3106	-1207
5296	1242	-170	1613
5644	744	-750	24
5472	-554	-2675	3327
5312	995	672	576
5524	412	2351	-1405
5292	290	573	-213
5528	456	499	810
5348	-732	-3186	3541
5488	778	-722	440
5352	829	2271	-1763
5468	400	1995	-1080
5300	-992	463	1305
5588	1679	-2577	1398
5524	-1201	-1391	1435
5372	-294	1332	225
5588	445	2508	-1091
5476	81	-220	1520
5528	959	-1195	114
5412	-14	-2463	2875
5436	-33	-39	693
5260	-1656	2173	-1454
5368	930	751	-1076
5584	-1102	643	421
5424	-1255	-3498	3697
5368	472	-414	539
5528	1139	1331	-2662
5528	-209	2461	-152
5256	2	-29	393
5360	150	-2731	1392
5468	-155	-1896	1488
5320	-357	1177	355
5588	338	2191	-5
5472	-19	37	1589
5312	950	-1391	93
5528	-262	-2543	3324
5308	-628	480	357
5540	319	2355	-2245
5292	38	1389	-1124
5588	-117	1225	694
5596	-625	-3678	3515
5488	-1	232	387
5248	-724	1607	175
5412	1089	2410	-985
5472	-314	616	1569
5592	2350	-2088	1445
5528	-724	-2003	1387
5660	201	1431	179
5576	-761	2915	-1068
5488	-1231	126	1695
5644	1007	-1506	422
5472	886	-2004	2502
5292	656	1371	1071
5628	-372	2628	-1773
5492	338	1039	334
5568	1226	-273	106
5592	493	-3046	3867
5640	274	1291	757
5572	377	2336	-1668
5468	313	1288	-1122
5292	19	736	947
5644	-436	-3161	2840
5484	-635	-515	482
5548	1192	1592	-1439
5704	294	1607	-399
5412	118	815	1459
5404	173	-2773	1301
5464	-304	-1128	1597
5660	1626	417	746
5576	1502	2787	-1925
5524	547	-457	395
5536	1305	-1535	10
5584	81	-2485	3228
5588	844	19	704
5632	361	2428	-487
5412	-627	401	183
5364	-93	262	94
5600	735	-2509	3883
5464	485	44	405
5292	-38	1362	-2212
5608	374	2462	-634
5592	108	502	1163
5568	-510	-2652	2102
5484	-1396	-1814	901
5320	834	1099	-1649
5640	-385	3326	-2021
5484	-390	107	693
5540	450	-1767	439
5584	-78	-2168	2159
5608	1248	906	227
5572	-924	2661	-886
5608	1079	1140	1032
5508	-463	-450	7
5616	-531	-2955	3529
5484	44	-99	427
5240	305	2026	-1006
5292	-457	1790	-1058
5668	401	132	962
5512	-926	-3212	2746
5488	-8	-295	568
5268	626	644	-2259
5412	-704	2940	-1714
5488	611	372	1890
5576	1271	-1752	451
5640	-269	-2339	2086
5492	679	653	1137
5568	920	2528	-644
5584	198	-68	1156
5536	1487	-252	-167
5596	-269	-3358	3391
5668	-958	-154	462
5548	-371	1550	-1036
5492	201	1043	377
5568	727	474	429
5516	-296	-3057	3316
5316	-564	-777	469
5548	-174	991	336
5532	168	2169	-1139
5300	-422	544	1475
5588	-141	-2355	1245
5668	-422	-1085	1250
5484	1526	917	536
5572	761	2749	-1023
5648	-221	32	669
5476	-527	-928	13
5668	267	-2613	2770
5468	1365	1241	595
5632	3	1915	-383
5480	513	991	325
5696	-722	273	102
5532	717	-2786	3705
5468	412	-663	714
5360	1205	1254	-440
5468	-790	2169	-1441
5312	92	274	1269
5520	-405	-2687	1784
5316	-94	-1526	1105
5604	173	1071	242
5576	1374	2900	-1065
5524	264	581	984
5516	376	-1716	179
5416	134	-2264	2555
5468	271	567	569
5512	410	2085	-359
5420	72	781	-484
5476	-347	1332	135
5588	-165	-3014	3491
5492	648	21	459
5284	2078	1625	76
5572	252	2711	-1119
5648	-40	467	500
5480	-250	-1966	1629
5316	345	-1052	1011
5640	-488	694	424
5532	605	2312	-933
5592	469	261	896
5516	-307	-737	-90
5508	-1441	-2773	2775
5368	1069	767	-416
5584	935	1881	-1341
5472	1116	1266	-608
5644	-795	1086	295
5596	300	-2981	3491
5468	42	-165	289
5652	756	1260	-884
5584	-283	1758	-622
