delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5400	20	54	758
5576	-7	-19	775
5556	43	-7	813
5532	78	33	786
5584	41	124	873
5460	39	99	845
5404	-12	17	685
5428	44	-102	901
5296	13	10	760
5576	28	92	728
5584	-20	-29	849
5608	-14	-8	771
5560	-17	23	821
5592	-32	-35	887
5436	-12	-99	765
5264	6	175	869
5416	-29	187	790
5480	43	47	727
5584	11	-25	821
5588	8	-63	807
5536	49	-42	859
5596	33	-10	736
5592	18	108	836
5468	13	68	881
5404	19	92	761
5400	52	-78	831
5424	82	-50	788
5416	-42	-28	790
5260	-33	158	718
5308	9	101	833
5592	13	41	819
5576	55	-80	823
5596	17	-32	895
5592	8	53	718
5524	46	34	848
5580	-17	73	808
5596	8	-24	753
5540	-35	-225	791
5492	44	197	741
5288	12	235	864
5644	36	12	803
5572	25	5	834
5528	31	-77	789
5592	9	-63	796
5536	-15	74	771
5600	-14	28	855
5596	43	236	647
5468	53	81	942
5576	15	-79	705
5596	86	-118	864
5648	-58	-33	844
5436	7	138	680
5416	-85	97	826
5420	26	77	776
5404	3	-26	750
5540	-10	-33	796
5436	-18	63	793
5424	72	145	816
5468	18	105	853
5636	78	1	688
5524	-34	-33	877
5612	-9	-26	824
5548	13	60	722
5580	14	74	816
5580	-25	-73	803
5612	-33	-5	779
5556	10	24	857
5580	-8	-6	808
5492	-101	95	775
5480	-21	102	813
5312	-5	135	709
5596	3	-4	791
5660	-10	-83	808
5432	39	-57	809
5592	42	-26	789
5596	16	54	808
5576	22	116	816
5644	-25	7	789
5536	-44	47	749
5600	-46	-106	796
5492	3	-14	732
5536	6	100	827
5588	-8	176	794
5596	75	22	840
5584	-6	-33	766
5548	-28	-118	895
5496	-11	47	723
5248	-33	110	759
5308	26	-22	862
5588	2	-42	771
5540	-2	-100	834
5604	9	132	789
5592	-36	171	861
5480	-33	69	759
5420	-20	-41	810
5444	39	-156	818
5644	26	-58	825
5596	-54	104	711
5480	-25	84	850
5596	2	149	635
5592	52	121	927
5464	3	-62	820
5360	42	-115	805
5480	15	-85	883
5416	-26	1	691
5544	62	182	805
5460	61	62	826
5576	42	-45	759
5600	9	38	833
5524	89	-22	827
5240	-7	-59	818
5384	9	284	796
5580	34	46	766
5580	5	-64	801
5540	15	14	796
5576	10	-72	768
5596	15	-27	809
5588	-10	26	835
5428	82	28	825
5400	32	36	887
5404	-54	-48	751
5260	-58	89	820
