delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5368	449	-3456	2789
5468	-101	852	272
5356	407	-138	-1414
5608	217	514	-173
5528	524	1011	-7
5476	-314	-1423	724
5256	-92	-2315	2143
5260	-82	449	1664
5360	393	469	-1910
5592	184	1872	1699
5452	-226	1093	548
5412	10	-2152	1545
5412	-224	-2288	1967
5320	277	242	2079
5568	255	1016	-2004
5648	397	1336	1590
5452	-534	1763	-401
5256	-467	-3045	2467
5312	25	-1191	1302
5588	541	712	1322
5572	935	1651	-1128
5648	-123	1230	1874
5472	-161	1511	-787
5600	-317	-3987	2886
5492	140	-240	456
5356	166	-418	-440
5544	-38	2681	-398
5556	11	1699	976
5520	-113	-179	-316
5568	-220	-3469	2773
5312	135	354	762
5512	280	-457	-189
5376	6	1793	224
5468	-1299	1937	819
5296	-509	-1227	573
5608	-746	-2081	2276
5488	213	365	1748
5392	416	596	-1832
5412	144	1662	2147
5288	-315	1728	176
5240	-776	-2281	1374
5312	-294	-2227	1817
5660	170	130	2146
5576	393	1096	-1775
5468	316	1370	2602
5632	-159	1684	-400
5600	-387	-3413	2366
5492	-97	-1175	1212
5604	475	399	606
5516	967	2000	-835
5592	363	999	759
5516	162	779	-698
5352	-659	-3770	2791
5492	186	348	48
5284	-813	-1113	-511
5620	136	2633	-190
5588	17	1652	1729
5576	494	-646	8
5596	-251	-3192	2564
5488	-341	548	1093
5592	339	-191	-1721
5600	-867	1685	1937
5472	-49	1822	329
5368	-213	-2566	1715
5484	-592	-2191	1734
5664	447	790	1992
5572	537	1234	-1471
5468	478	1252	1782
5636	294	1438	-462
5584	-179	-3462	2731
5492	-521	-767	838
5544	224	-224	81
5300	1089	2711	-633
5648	-1024	1092	2615
5528	-23	672	-510
5500	-13	-3395	2903
5256	-72	-42	45
5380	499	-588	559
5528	-332	2118	-41
5552	17	1397	1592
5576	555	-439	199
5536	-104	-2881	2615
5656	2	247	1178
5476	855	329	-1721
5584	-207	1355	1041
5644	97	1391	213
5524	-801	-2367	1877
5484	-650	-1904	1537
5316	366	149	1647
5572	613	455	-1512
5588	-190	1232	2697
5648	-125	1346	-496
5428	-307	-3790	2816
5316	-15	-645	886
5668	-291	-344	165
5548	1246	2208	-694
5472	-1215	1177	2516
5528	259	48	-503
5300	-349	-3682	2797
5664	413	452	195
5512	-75	-544	-903
5512	20	1675	519
5348	-323	2141	1208
5468	-548	-730	182
5376	-920	-3213	2401
5488	289	893	931
5688	-109	-30	-785
5512	240	1091	1873
