delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5528	6	32	797
5524	4	27	795
5356	6	26	795
5524	-1	28	806
5544	3	23	806
5524	10	26	782
5404	9	17	789
5532	5	20	783
5524	6	18	801
5524	5	31	800
5528	11	30	800
5404	5	21	807
5524	6	22	803
5528	2	18	783
5524	0	29	789
5352	10	18	782
5584	-5	24	790
5540	11	17	789
5580	12	18	810
5576	11	19	800
5584	8	23	781
5524	4	15	812
5524	12	20	784
5584	13	15	787
5576	5	19	798
5532	2	18	797
5524	4	30	798
5352	8	31	795
5532	10	19	800
5576	18	22	794
5580	12	22	797
5580	2	30	803
5528	6	24	805
5524	6	33	793
5700	16	25	801
5408	13	20	809
5400	7	25	796
5524	8	31	790
5532	9	32	784
5524	9	27	790
5532	3	17	812
5352	7	15	803
5524	3	30	811
5528	5	21	789
5352	16	24	791
5576	9	29	790
5532	7	21	781
5524	2	14	799
5532	3	29	809
5348	5	24	792
5528	3	20	807
5528	6	25	806
5348	4	24	819
5528	7	26	797
5528	10	19	800
5576	9	24	806
5524	10	13	790
5412	-2	19	813
5536	10	16	795
5584	8	14	785
5524	12	17	797
5576	5	15	811
5532	2	15	803
5524	10	20	801
5580	11	23	810
5576	5	23	809
5524	0	29	794
5356	13	14	805
5576	10	17	798
5584	6	23	787
5524	8	18	791
5524	9	16	807
5532	10	25	807
5404	9	20	786
5524	-2	20	799
5548	13	12	775
5576	10	21	784
5584	10	22	779
5576	8	21	802
5528	15	16	785
5576	2	39	800
5528	-2	23	789
5548	8	24	795
5524	3	23	800
5356	11	27	798
5576	5	22	808
5524	14	22	796
5584	1	23	797
5524	9	13	804
5532	0	14	795
5348	10	23	786
5576	10	20	781
5584	11	29	787
5576	7	26	796
5532	6	20	801
5524	6	20	807
5524	7	22	808
5528	14	27	803
5404	10	17	806
5572	4	25	801
5532	2	16	784
5524	6	27	806
5532	15	32	801
5576	6	19	810
5532	5	26	809
5348	2	32	785
5524	15	26	796
5584	7	19	796
5524	10	17	791
5580	9	16	793
5528	12	14	807
5404	9	12	813
5532	9	13	811
5524	15	13	797
5576	2	25	794
5532	12	28	785
5576	10	30	784
5580	5	18	775
5524	5	27	806
5524	11	15	791
5412	10	21	788
5572	14	25	795
5404	3	18	788
5356	9	29	788
5528	10	20	786
5580	2	29	790
5528	6	18	809
5524	8	18	795
5356	4	20	817
5524	0	18	787
5524	3	24	803
5360	13	26	794
5572	6	24	783
5528	8	27	803
5528	7	21	791
5524	10	12	785
5404	10	19	799
5580	10	28	794
5404	6	14	792
5348	9	31	789
5532	3	21	802
5524	5	26	802
5352	8	16	798
5532	16	19	819
5576	2	20	812
5532	13	29	807
5572	14	20	793
5584	12	23	786
5576	5	17	794
5528	11	11	804
5580	9	30	790
5528	15	17	802
5408	7	14	807
5524	7	12	802
5524	4	17	786
5528	6	29	780
5524	6	17	785
5352	2	21	802
5532	16	19	801
5576	10	26	795
5580	6	23	803
5524	11	19	812
5584	7	21	804
5524	14	15	790
5400	3	20	784
5532	0	15	799
5524	3	19	801
5524	5	21	803
5532	7	26	791
5348	2	28	808
5524	8	27	781
5532	0	21	791
5352	2	25	778
5524	3	20	798
5532	9	29	797
5696	5	24	813
5532	14	26	809
5576	9	27	795
5532	3	19	798
5524	7	20	801
5524	10	15	794
5584	9	18	786
5524	7	24	804
5356	3	17	801
5524	21	22	791
5576	3	24	805
5532	6	31	802
5700	8	28	789
5528	8	22	801
5524	10	14	795
5584	0	19	788
5524	6	28	793
5524	-2	27	797
5544	14	20	788
5404	15	23	805
5576	9	15	793
5528	7	28	783
5528	8	19	788
5528	1	23	799
5528	4	29	800
5348	6	24	798
5532	6	15	795
5524	12	21	802
5404	5	24	785
5532	8	18	805
5520	2	23	785
5532	8	18	800
5524	14	21	791
5400	13	18	793
5580	11	26	797
5404	6	27	810
5348	7	22	798
5532	9	21	815
5524	3	23	791
5352	9	22	815
5532	-1927	-57	-76
5504	552	-518	-835
5368	589	371	-1020
5592	-518	748	-213
5548	-184	-307	338
5552	-259	-224	931
5548	-53	250	1006
5536	-25	-37	307
5616	-195	43	1106
5532	35	62	595
5580	64	29	801
5576	150	20	931
5460	175	-26	698
5304	156	21	955
5632	169	6	752
5584	142	-43	829
5472	43	2	888
5700	-2	78	733
5540	-69	52	832
5592	-102	-25	792
5500	-130	-17	726
5488	-111	72	787
5304	-83	98	731
5600	-38	32	768
5592	3	10	798
5532	74	24	820
5576	98	67	839
5584	114	58	818
5460	121	1	830
5400	104	-15	853
5472	69	-16	797
5596	30	-8	795
5536	5	0	787
5652	-25	16	786
5420	-55	28	791
5248	-55	30	777
5428	-62	33	794
5420	-43	45	790
5248	-17	59	793
5420	-1	69	792
5544	37	37	782
5576	55	10	810
5404	66	2	836
5352	61	8	806
5516	49	7	819
5524	31	3	809
5352	9	-4	787
5480	2	-1	792
5304	-5	2	777
5660	-18	17	795
5420	-33	51	823
5420	-18	52	794
5428	-11	52	817
5248	-7	40	804
5364	0	38	785
5524	1	51	787
5532	18	36	777
5576	28	15	793
5584	37	5	803
5520	39	-1	806
5532	26	3	816
5352	-57	-12	956
5608	30	-1	719
5544	-15	58	746
5592	-33	34	904
5420	-22	37	747
5428	-25	45	809
5420	-29	58	845
5248	2	53	738
5352	2	34	811
5528	10	19	820
5576	29	-5	761
5544	26	-2	827
5532	33	5	814
5348	42	7	782
5524	31	-2	845
5536	28	7	788
5700	10	3	799
5520	4	35	809
5524	-5	39	777
5544	-15	38	791
5596	-7	19	779
5548	-1	15	780
5536	0	25	815
5524	3	24	802
5360	5	22	815
5524	20	12	805
5572	22	4	806
5528	19	18	797
5228	27	20	796
5404	22	26	771
5580	0	25	801
5524	6	30	803
5532	3	26	814
5524	-7	47	800
5540	-5	39	779
5372	-2	31	798
5536	1	30	817
5524	4	16	780
5532	1	9	784
5296	13	16	802
5576	22	20	791
5580	19	10	813
5576	16	14	809
5584	20	17	795
5576	19	19	788
5584	16	28	787
5576	7	32	799
5524	6	24	783
5532	3	19	802
5524	0	9	804
5648	-3	14	793
5540	-1	19	791
5544	3	8	799
5644	6	11	791
5532	13	10	793
5576	9	23	790
5524	25	12	810
5580	18	22	815
5576	17	27	802
5584	12	26	802
5576	13	17	790
5584	0	22	788
5524	1	18	795
5524	4	23	796
5532	13	20	787
5576	11	17	793
5580	4	21	814
5524	8	15	797
5352	13	18	805
5584	12	25	787
5572	12	40	804
5584	8	39	802
5524	12	29	819
5580	7	24	794
5528	9	29	791
5524	2	26	796
5532	-1	22	798
5364	3	18	794
5524	2	30	781
5532	7	12	797
5700	8	10	804
5528	10	26	797
5576	11	35	788
5584	7	20	797
5524	5	22	803
5524	7	22	799
5532	10	27	802
5572	13	20	803
5584	6	12	802
5524	13	18	799
5404	7	15	806
5528	8	13	793
5524	-3	18	796
5548	6	19	793
5524	5	28	788
5352	8	18	791
5532	12	22	792
5576	8	24	792
5524	13	23	798
5584	12	35	803
5576	10	23	800
5580	8	26	804
5524	5	23	787
5532	7	27	796
5352	9	22	807
5520	6	17	804
5532	11	19	819
5576	2	27	790
5524	9	15	798
5360	2	25	791
5524	5	35	798
5524	8	24	789
5356	5	29	798
5528	12	20	799
