delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5480	1	473	760
5592	170	445	801
5512	46	116	836
5644	280	-189	978
5528	137	31	588
5632	97	-192	865
5480	-60	-313	738
5664	-48	-459	753
5496	-56	-355	734
5492	-133	-161	745
5372	-217	36	764
5484	6	289	810
5584	-28	296	778
5660	-53	196	820
5484	-53	328	569
5660	105	394	933
5512	206	312	908
5516	103	187	732
5692	60	-135	935
5472	131	-173	785
5536	244	-264	791
5704	107	17	920
5456	235	-356	804
5536	-239	-479	735
5372	-234	-306	720
5556	20	-77	737
5588	-81	155	817
5484	-170	308	808
5536	-108	379	866
5360	-76	252	555
5484	-13	302	878
5660	41	502	766
5460	83	370	620
5292	331	-40	1047
5532	113	-193	856
5356	190	-61	801
5472	122	-147	874
5708	26	-188	738
5472	-52	-373	752
5496	-151	-484	830
5376	51	-141	713
5472	-121	2	741
5248	-62	262	895
5312	-186	387	708
5532	-58	391	781
5308	-32	277	742
5660	24	357	891
5464	126	522	805
5512	185	262	684
5348	147	-63	1019
5528	61	-196	727
5652	226	-387	852
5528	138	-123	843
5528	65	-225	704
5656	28	-511	918
5472	-148	-293	711
5552	-149	-9	698
5264	-56	190	876
5304	-169	331	701
5532	-115	389	797
5540	-44	361	637
5308	119	256	989
5516	133	387	768
5344	241	419	666
5516	27	-2	937
5536	127	-167	907
5360	193	-124	782
5528	-20	-377	856
5672	144	-195	694
5528	-4	-355	874
5604	-5	-512	845
5436	-52	-293	698
5320	-234	181	779
5532	-97	256	829
5660	-46	302	757
5484	-129	439	773
5536	-52	284	744
5308	73	354	898
5636	143	270	914
5520	155	395	758
5516	168	-85	872
5652	227	48	732
5460	192	-269	889
5352	66	-137	848
5472	-18	-424	693
5324	21	-302	828
5648	-133	-370	722
5552	-135	-57	723
5488	-125	367	777
5532	-76	349	833
5316	13	270	920
5636	-120	341	512
5532	-6	407	935
5608	114	439	775
5516	195	217	634
5520	50	-22	977
5592	36	-209	805
5652	72	-209	729
5472	95	-111	868
5652	-57	-344	761
5492	-159	-611	835
5548	-117	-434	763
5552	109	-177	701
5356	-142	8	906
5596	-108	523	660
5536	-83	361	898
5484	74	266	724
5640	-16	147	816
5476	50	467	821
5288	127	440	770
5520	239	-9	988
5416	-83	-369	892
5492	214	55	731
5640	-136	-138	790
5548	98	-206	787
5476	-148	-468	759
5548	-209	-537	863
5372	-90	-293	658
5500	-22	-98	821
5608	-164	183	828
5532	-130	529	725
5536	-60	367	795
5656	124	180	804
5520	-25	293	892
5656	102	417	878
5520	161	406	654
5512	119	-286	980
5528	-18	-76	884
5268	117	-274	825
5356	-87	-125	777
5488	72	-202	745
5652	-108	-532	871
5548	-183	-405	772
5556	-27	-123	675
5488	-73	184	834
5308	-46	160	809
5660	-104	406	818
5532	0	405	666
5592	47	268	960
5460	122	273	834
5340	127	434	640
5516	35	167	933
5640	129	-445	876
5528	33	-17	795
5600	80	-105	848
5472	-78	-333	731
5316	-105	-415	576
5552	-191	-408	963
5548	-124	-68	708
5672	-29	24	780
5592	-197	324	781
5540	-27	332	828
5480	-14	125	845
5656	-80	329	620
5484	4	467	954
5584	180	304	853
5524	173	148	899
5340	93	-100	815
5472	142	-134	640
5356	314	-269	1006
5588	-142	-152	754
5548	-59	-405	727
5496	-128	-508	702
5548	19	-194	773
5300	-3	43	813
5544	-79	230	756
5656	-325	256	764
5536	-2	320	801
5596	23	98	772
5584	77	339	923
5464	25	451	920
5288	115	211	607
5512	110	-72	1043
5360	205	-170	842
5528	111	-118	701
5536	-48	-166	883
5316	34	-307	709
5644	-9	-490	859
5436	-151	-308	793
5376	-178	-223	660
5548	-130	136	839
5536	11	362	762
5640	-148	328	903
5536	3	369	686
5584	48	136	875
5464	31	366	841
5640	54	415	775
5460	308	53	957
5288	167	-147	952
5532	194	20	740
5288	-132	-104	782
5372	65	-265	863
5472	-34	-406	758
5672	27	-436	900
5472	-158	-176	646
5552	-151	-24	779
5664	-20	287	864
5488	-37	371	685
5652	-43	227	958
5488	-65	327	644
5652	51	360	889
5464	124	366	838
5692	38	359	686
5464	154	-135	843
5536	114	12	844
5284	56	-349	794
5644	133	-73	892
5480	-63	-355	547
5664	-35	-503	967
5496	-221	-403	666
5548	-51	1	782
5540	-54	148	839
5312	-119	213	805
5532	-21	401	844
5660	58	248	750
5460	83	299	925
5288	38	387	745
5644	55	312	648
5460	55	72	959
5400	188	-160	829
5536	75	-94	744
5592	46	-130	910
5472	-18	-477	667
5672	115	-472	813
5528	-84	-216	757
5496	8	-260	771
5596	-239	137	783
5536	-122	504	668
5536	43	235	1034
5344	-3	253	638
5600	21	348	819
5464	-71	597	785
5308	265	410	810
5520	167	67	956
5284	49	-222	850
5644	160	21	664
5464	48	-243	773
5300	-18	-142	785
5664	-89	-432	721
5496	24	-638	923
5644	-58	-247	731
5500	-38	-72	815
5608	-76	164	816
5480	-199	466	710
5540	52	292	834
5288	102	214	720
5684	-51	448	883
5488	45	489	845
5636	288	336	685
5520	179	-239	1018
5584	64	-110	918
5480	57	-321	786
5300	-76	-150	764
5664	132	-337	749
5532	-167	-461	866
5548	-138	-278	757
5548	-59	-100	698
5496	-215	199	806
5360	-53	279	850
5480	-144	283	744
5540	-9	371	730
5420	-7	414	987
5420	24	249	774
5296	162	422	613
5516	46	267	959
5288	184	-332	838
5536	-59	-83	753
5260	37	-82	814
5416	12	-343	771
5472	6	-473	690
5604	-73	-444	914
5488	-172	-125	710
5372	-107	-26	731
5496	-115	298	834
5532	-73	341	843
5308	68	188	838
5644	-33	413	728
5480	-35	484	895
5660	183	351	888
5512	92	276	723
5464	105	-35	871
5304	245	-65	702
5648	256	-303	975
5532	-27	-76	778
5612	-37	-427	725
5488	-121	-604	780
5556	-231	-264	746
5544	-79	-81	803
5264	-64	207	762
5312	70	371	887
5636	-146	374	705
5532	-20	216	811
5488	153	385	854
5340	153	517	863
5516	181	324	622
5520	102	-13	1039
5356	198	-287	801
5528	-81	-51	710
5612	151	-296	876
5532	183	-307	824
5532	-122	-536	793
5548	-38	-348	890
5316	-47	-144	664
5496	-124	64	890
5304	-28	395	743
5656	-36	269	885
5488	-50	365	710
5652	-47	233	860
5488	-33	489	752
5656	207	363	794
5520	106	36	903
5632	124	8	894
5404	41	-127	657
5304	-11	-407	936
5664	49	-114	662
5472	-104	-465	754
5552	-33	-503	877
5668	-54	-235	696
5496	-209	124	792
5532	-29	243	849
5308	-66	223	770
5660	-15	324	781
5484	-100	389	773
5536	55	468	853
5636	160	290	885
5520	30	257	802
5636	136	-177	834
5528	71	-112	630
5480	-30	-234	887
5320	-134	-213	783
5544	-40	-558	731
5672	-57	-558	781
5492	8	-266	689
5600	-36	-90	907
5608	-127	176	817
5536	-92	330	747
5484	-234	347	812
5356	42	294	697
5472	26	246	951
5288	115	472	870
5512	86	444	622
5292	331	-278	998
5536	134	59	816
5284	20	-227	785
5296	77	-181	839
5652	78	-465	733
5476	-145	-521	837
5544	-52	-293	716
5672	-153	-143	711
5548	-215	16	853
5484	-82	225	760
5652	-55	265	853
5480	129	351	788
5696	-84	411	772
5480	25	389	832
5644	95	400	622
