delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5528	-5	12	808
5544	21	26	796
5576	9	7	808
5648	-1	53	789
5540	9	20	789
5524	10	27	794
5584	10	7	788
5520	0	-23	814
5540	2	-25	769
5360	5	15	775
5528	-6	35	810
5544	2	11	804
5524	-9	-7	809
5316	16	-10	765
5600	-9	16	795
5536	10	49	798
5584	17	16	788
5576	21	-6	821
5536	21	-5	805
5540	2	44	786
5352	19	51	779
5580	8	32	796
5524	25	9	795
5520	37	18	794
5584	17	45	805
5576	19	45	802
5580	15	58	777
5576	15	37	812
5584	15	4	794
5520	14	17	811
5576	14	63	790
5584	-2	40	786
5540	5	31	792
5704	20	39	844
5400	10	18	774
5404	12	44	815
5580	6	33	786
5524	-2	-3	798
5500	3	3	799
5640	7	1	774
5472	0	35	818
5356	-8	58	801
5536	0	11	821
5532	3	3	793
5644	4	30	798
5524	13	28	803
5580	3	86	802
5524	-3	-7	783
5676	20	-62	792
5588	6	21	783
5532	12	17	807
5576	14	35	822
5584	23	68	779
5576	12	2	814
5520	46	-47	790
5596	14	43	802
5576	19	117	812
5468	-1	50	796
5540	35	18	796
5404	18	-33	797
5420	25	18	802
5400	9	38	809
5528	6	51	812
5528	3	32	789
5524	16	29	803
5580	12	29	784
5576	13	28	820
5576	10	26	808
5584	11	18	789
5576	-4	61	804
5544	0	35	809
5524	-2	31	781
5364	1	17	787
5532	0	-23	837
5532	4	-2	780
5660	-5	10	812
5540	16	44	808
5580	-5	6	774
5480	-6	-7	830
5668	10	7	785
5524	16	-6	796
5536	-3	88	772
5544	15	81	795
5576	15	-2	815
5540	17	-48	813
5420	7	-24	791
5532	-3	67	793
5548	14	44	792
5576	6	85	803
5528	12	0	790
5524	28	-28	797
5588	23	44	792
5584	15	40	807
5576	31	-16	800
5596	29	73	812
5576	31	58	805
5580	30	75	780
5576	25	-9	839
5536	20	-60	779
5596	11	19	796
5576	-6	54	804
5548	7	133	796
5580	-11	67	812
5604	1	-40	781
5532	-1	-34	811
5556	-3	22	791
5536	7	99	767
5528	3	105	806
5588	-1	17	784
5540	3	-46	780
5540	3	-13	810
5364	28	18	796
5576	15	55	790
5580	2	52	809
5524	1	-16	788
5540	16	-16	815
5592	17	19	756
5576	4	6	849
5476	14	27	803
5400	12	-41	790
5596	22	89	786
5404	9	73	773
5352	14	13	791
5584	22	-26	811
5588	28	-73	838
5592	26	32	787
5584	33	72	760
5400	29	58	875
5404	18	21	782
5580	15	11	815
5576	52	28	798
5412	-13	28	792
5420	16	123	764
5464	8	18	828
5528	8	55	791
5352	10	-27	801
5588	-9	0	816
5484	5	55	817
5524	-11	34	789
5420	3	42	848
5532	-6	10	783
5540	11	29	773
5580	-11	34	804
5596	-11	47	788
5420	-8	39	819
5372	1	17	800
5524	2	-20	785
5536	25	9	807
5700	17	-48	763
5416	7	145	834
5416	2	78	758
5528	9	-23	890
5532	17	-36	775
5596	-14	-92	812
5612	28	72	802
5580	26	61	797
5400	38	40	814
5404	35	24	786
5580	26	-57	799
5420	30	26	803
5400	28	6	820
5528	20	34	802
5576	19	61	808
5580	20	-2	777
5536	1	55	785
5524	-1	22	830
5548	24	13	753
5400	14	21	850
5404	-8	7	762
5316	-1	-1	837
5664	21	29	791
5584	0	41	786
5524	3	47	820
5524	2	73	778
5528	-12	54	794
5596	-15	45	774
5600	-21	36	803
5596	-9	-4	809
5496	-4	45	822
5540	0	21	811
5348	22	-16	803
5596	-8	31	787
5540	6	7	818
5464	12	42	804
5408	43	39	834
5576	0	25	808
5528	19	40	764
5576	13	62	825
5580	13	20	793
5580	43	-34	806
5416	3	-64	820
5364	22	-23	757
5596	8	44	796
5524	29	88	789
5584	32	30	796
5576	21	-9	861
5540	6	-121	812
5596	32	53	774
5576	19	59	847
5580	22	82	771
5580	-7	-4	836
5500	9	-1	766
5652	0	32	805
5528	19	9	833
5520	12	45	780
5576	-9	69	879
5552	17	-37	759
5592	7	33	799
5532	1	46	807
5696	3	103	773
5416	7	46	797
5352	6	-23	838
5536	-4	4	769
5656	-9	6	808
5480	12	86	773
5580	-10	-30	784
5608	9	50	810
5524	1	9	787
5652	8	34	789
5524	4	45	814
5532	11	71	788
5576	8	-24	829
5540	23	-19	779
5592	5	-26	852
5532	19	54	744
5584	39	112	782
5636	24	-25	866
5596	40	9	766
5524	32	-22	834
5596	34	60	826
5576	22	10	775
5580	127	-37	741
5472	61	140	922
5644	25	-8	760
5532	-19	20	863
5596	-21	36	746
5600	-20	50	812
5420	-8	-15	833
5376	-17	-37	735
5616	-13	28	880
5420	7	60	763
5352	-12	34	784
5600	23	-11	844
5588	34	-47	782
5424	38	-30	820
5244	17	-7	839
5356	26	30	797
5580	19	-4	808
5540	9	-3	773
5652	17	28	810
5408	-6	63	826
5364	11	19	782
5576	-9	-37	824
5556	9	32	777
5524	7	56	791
5532	28	100	815
5288	13	11	803
5576	29	22	779
5580	31	20	815
5576	59	91	816
5576	10	104	805
5644	-3	77	822
5536	72	-3	827
5540	10	49	799
5576	-9	181	820
5604	-16	80	753
5424	-32	125	805
5304	-30	-79	789
5616	-28	-3	771
5552	-8	5	789
5660	-6	34	779
5540	26	122	794
5460	13	-68	831
5596	26	-69	790
5592	27	-23	835
5596	8	66	759
5528	43	98	799
5580	20	-50	859
5592	-17	-113	742
5492	26	-37	843
5596	22	-119	844
5648	-78	137	766
5484	-15	-28	820
5608	-50	108	736
5488	-31	-45	774
5260	-16	-54	826
5260	8	2	782
5296	-19	132	802
5660	-9	93	794
5540	-3	-7	811
5492	28	2	785
5700	17	15	808
5576	22	122	788
5472	26	59	791
5576	8	-80	855
5540	50	-32	767
5592	-5	77	810
5540	-5	230	813
5608	0	2	757
5640	-16	-108	839
5500	53	99	823
5576	-35	65	752
5600	45	78	863
5576	20	118	802
5464	16	4	830
5352	24	-127	839
5472	20	71	796
5404	1	21	779
5528	9	132	788
5584	23	63	825
5584	27	-47	782
5416	42	-60	832
5416	25	77	813
5408	32	-6	828
5364	11	-112	816
5472	-1	6	760
5304	14	115	803
5640	-28	26	815
5592	7	-7	759
5488	24	-93	818
5588	39	-27	787
5600	-28	9	745
5536	15	103	814
5636	19	-7	860
5540	-24	-10	774
5608	17	-36	787
5424	5	22	812
5348	6	97	785
5524	-3	90	817
5548	-13	48	801
5592	-4	18	758
5544	2	42	830
5700	-4	19	730
5544	-20	88	848
5592	-10	85	708
5424	-29	77	846
5248	31	102	723
5292	3	35	791
5528	27	-33	889
5416	35	-56	752
5424	23	-61	878
5416	29	87	771
5404	12	133	764
5288	-6	38	722
5544	4	-2	897
5304	-29	-57	746
5608	33	43	821
5584	-19	95	824
5592	7	31	779
5532	-12	0	779
5540	-3	-57	797
5548	33	-89	790
5596	29	-66	772
5592	-1	285	783
5608	10	146	787
5464	32	-113	826
5652	-17	-184	800
5488	14	33	765
5584	7	142	841
5584	-14	70	750
5592	-17	62	784
5604	8	22	799
5524	-18	-42	761
5616	-10	46	872
5592	16	137	730
5472	-55	10	833
5592	7	0	745
5648	40	-49	837
5416	17	62	819
5404	7	17	771
5528	34	14	824
5576	7	16	797
5528	-8	47	803
5548	-10	74	814
5592	6	79	774
5532	25	57	824
5576	-7	86	789
5548	13	66	769
5576	19	33	811
5576	-1	-75	846
5560	18	38	735
5576	20	70	842
5580	-17	86	811
5592	20	73	829
5584	54	-65	799
5592	61	-108	777
5472	37	30	777
5584	12	43	849
5576	23	120	786
5640	37	12	838
5576	27	26	783
5584	11	-73	813
5588	54	105	830
5468	13	40	729
5576	2	4	847
5648	-22	-72	764
5436	-26	-25	824
5260	-27	102	756
5308	30	224	861
5640	1	-6	815
5480	17	-146	781
5652	2	-63	875
5536	-14	140	777
5480	-15	192	801
5312	-39	117	794
5656	23	-108	805
5472	17	-99	839
5596	24	4	787
5520	0	81	779
5708	18	116	806
5460	32	-27	836
5596	12	-94	764
5592	-31	46	803
5600	15	178	794
5464	-8	-10	780
5548	23	1	811
5352	-2	-28	780
5548	33	-10	795
5592	39	26	808
5584	51	63	809
5576	18	-35	806
5596	95	18	843
5404	45	55	812
5400	-3	95	785
5548	-17	61	817
5592	9	-20	780
5544	8	-5	751
5476	23	-105	823
5300	-12	220	788
5660	-14	169	743
5480	22	-10	831
5588	-2	-101	804
5616	-15	-194	776
5492	3	74	780
5528	-18	186	797
5308	23	82	798
5576	6	-39	777
5544	-9	37	827
5536	12	49	755
5404	31	108	827
5468	4	30	813
