delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
5352	7	22	793
5532	11	20	802
5572	9	30	799
5532	5	29	807
5524	0	25	825
5352	9	16	796
5532	17	21	775
5576	2	22	782
5524	4	24	784
5532	13	18	789
5400	1	20	803
5524	2	29	792
5532	-4	23	808
5540	10	20	801
5580	8	21	788
5528	4	20	784
5348	8	26	793
5532	4	24	804
5524	8	16	796
5352	4	17	803
5528	9	13	798
5528	1	25	780
5528	-3	21	791
5368	3	15	789
5524	10	19	794
5584	11	20	794
5572	14	18	798
5584	17	15	812
5576	7	20	800
5524	10	24	806
5584	15	10	778
5576	3	23	803
5528	1	22	792
5528	13	28	792
5580	8	21	808
5524	10	11	801
5404	3	24	807
5528	15	24	786
5580	12	21	809
5572	11	22	812
5584	9	32	778
5524	2	30	805
5532	4	25	799
5524	7	19	811
5532	4	23	794
5348	11	19	794
5580	4	22	815
5528	5	20	793
5524	12	15	787
5228	11	17	797
5404	14	20	793
5584	12	19	811
5400	14	22	812
5404	8	22	806
5528	2	24	792
5524	0	22	803
5532	8	18	783
5696	5	23	793
5532	7	16	801
5524	13	10	798
5576	10	17	794
5584	13	28	790
5576	9	18	801
5532	13	26	795
5576	10	27	798
5584	11	27	782
5576	0	23	802
5524	2	24	811
5528	10	30	813
5576	12	23	793
5584	10	20	806
5576	9	17	793
5532	3	15	801
5524	2	21	781
5352	12	23	789
5580	10	18	803
5576	11	24	804
5584	4	27	806
5524	9	26	811
5524	8	25	809
5532	15	22	780
5576	11	31	788
5584	7	23	801
5524	2	27	785
5348	10	20	810
5584	1	26	797
5524	5	19	813
5524	10	18	798
5584	11	24	780
5576	15	20	790
5584	5	16	776
5524	11	25	802
5580	13	25	821
5576	2	29	805
5532	6	13	796
5524	3	22	790
5352	1	22	790
5532	2	15	811
5524	5	18	785
5352	9	15	790
5532	5	11	815
5524	9	15	820
5524	10	12	810
5408	5	24	803
5524	11	21	792
5576	5	28	795
5532	9	29	776
5524	5	31	794
5532	4	22	781
5352	4	26	796
5524	10	13	808
5580	5	20	809
5528	1	20	793
5528	8	16	791
5352	7	23	782
5528	8	17	789
5528	8	21	796
5352	9	21	785
5524	4	22	799
5532	5	29	801
5524	6	15	798
5352	5	24	802
5528	11	17	796
5576	4	24	803
5524	5	24	795
5708	11	21	786
5400	8	25	796
5360	11	24	791
5572	9	23	806
5524	10	18	779
5584	5	25	796
5524	6	33	787
5532	12	25	792
5400	1	29	794
5528	10	22	801
5580	17	25	806
5576	8	21	807
5532	1	25	799
5524	9	19	788
5524	0	33	787
5356	7	15	779
5528	8	23	803
5524	3	19	794
5532	1	15	786
5348	4	22	798
5528	6	28	784
5528	-2	16	791
5364	5	29	798
5524	9	24	791
5532	11	18	799
5576	4	21	806
5532	8	32	807
5696	15	26	790
5412	10	20	790
5400	4	26	784
5528	6	21	792
5528	8	25	794
5524	9	20	798
5524	7	18	810
5360	5	19	799
5524	7	21	797
5524	8	24	810
5356	5	30	786
5528	9	18	791
5524	9	21	798
5528	8	29	795
5352	5	26	805
5524	3	19	815
5532	8	16	817
5348	6	11	805
5524	1	22	796
5532	7	18	799
5524	-2	25	809
5372	11	26	800
5576	7	26	816
5524	6	18	805
5532	-1	22	804
5536	20	20	792
5404	10	18	773
5408	1	25	784
5352	5	21	799
5524	4	36	788
5532	-1	15	786
5364	4	26	802
5524	15	25	788
5580	12	26	807
5576	1	23	790
5532	4	30	771
5524	5	20	780
5528	6	17	790
5356	1	18	799
5524	7	16	795
5532	17	18	796
5228	7	20	796
5352	8	16	802
5524	19	21	806
5580	11	21	796
5576	6	16	796
5532	3	24	793
5528	4	33	799
5352	12	14	782
5580	2	22	793
5524	14	34	774
5580	11	26	786
5580	13	27	796
5576	5	17	783
5532	7	15	803
5524	14	18	811
5584	5	19	811
5524	10	26	802
5400	1	31	781
5532	-3	24	788
5540	2	19	797
5524	5	22	800
5532	9	19	802
5348	5	21	803
5524	5	30	809
5532	6	36	808
5696	7	27	793
5532	7	24	797
5524	0	27	803
5532	8	31	794
5524	16	23	794
5404	14	21	796
5408	1	29	806
5352	6	18	797
5520	5	18	802
5532	6	24	811
5352	10	19	791
5576	12	30	791
5584	13	28	783
5576	10	23	798
5580	20	20	803
5576	9	16	796
5524	4	19	815
5532	10	18	783
5576	12	26	793
5584	2	21	794
5524	7	16	788
5532	5	19	806
5524	10	17	804
5404	14	19	806
5580	-1	24	798
5540	6	22	797
5532	4	22	798
5524	8	22	802
5524	5	27	796
5356	6	33	795
5528	3	26	809
5524	13	26	788
5580	4	26	786
5528	1	19	811
5348	12	22	766
5584	3	29	798
5524	7	17	796
5532	9	17	806
5696	6	22	827
5532	8	31	810
5524	13	23	805
5576	0	18	792
5532	4	28	783
5524	11	25	786
5228	1	19	779
5360	9	20	788
5524	11	21	806
5576	13	22	800
5580	14	24	799
5576	10	27	800
5580	12	26	788
5580	4	23	784
5528	3	20	792
5528	12	26	791
5576	7	36	804
5528	7	25	805
5352	5	21	802
5524	12	20	787
5584	6	17	790
5524	6	20	784
5532	9	23	788
5348	5	14	798
5528	3	26	799
5528	10	21	812
5404	10	18	807
5404	9	26	799
5356	-2	18	808
5540	6	19	786
5524	-3	29	787
5544	9	24	795
5352	13	27	803
5572	16	16	787
5584	4	20	807
5524	9	25	797
5532	4	21	788
5524	4	28	789
5352	8	20	783
5532	2	13	792
5524	6	18	806
5348	6	28	794
5532	6	20	821
5524	5	23	816
5532	5	19	800
5352	7	22	785
5524	0	26	793
5532	13	28	791
5400	7	21	802
5524	8	22	810
5532	12	22	782
5576	9	16	793
5528	-6	23	791
5548	4	23	784
5524	5	18	809
5356	-2	17	801
5540	6	19	808
5524	12	15	801
5584	14	14	794
5576	8	18	796
5528	1	17	811
5352	2	22	783
5524	5	23	782
5532	9	23	778
5696	7	17	788
5532	14	15	788
